Rk,Team,Overall,,,,,,,,,,,,,,,,,,
1,Boston Bruins,44-14-12,,,,,,,,,,,,,,,,,,
2,St. Louis Blues,42-19-10,,,,,,,,,,,,,,,,,,
3,Tampa Bay Lightning,43-21-6,,,,,,,,,,,,,,,,,,
4,Colorado Avalanche,42-20-8,,,,,,,,,,,,,,,,,,
5,Washington Capitals,41-20-8,,,,,,,,,,,,,,,,,,
6,Philadelphia Flyers,41-21-7,,,,,,,,,,,,,,,,,,
7,Pittsburgh Penguins,40-23-6,,,,,,,,,,,,,,,,,,
8,Vegas Golden Knights,39-24-8,,,,,,,,,,,,,,,,,,
9,Edmonton Oilers,37-25-9,,,,,,,,,,,,,,,,,,
10,Dallas Stars,37-24-8,,,,,,,,,,,,,,,,,,
11,Carolina Hurricanes,38-25-5,,,,,,,,,,,,,,,,,,
12,Toronto Maple Leafs,36-25-9,,,,,,,,,,,,,,,,,,
13,Columbus Blue Jackets,33-22-15,,,,,,,,,,,,,,,,,,
14,Winnipeg Jets,37-28-6,,,,,,,,,,,,,,,,,,
15,New York Islanders,35-23-10,,,,,,,,,,,,,,,,,,
16,New York Rangers,37-28-5,,,,,,,,,,,,,,,,,,
17,Calgary Flames,36-27-7,,,,,,,,,,,,,,,,,,
18,Vancouver Canucks,36-27-6,,,,,,,,,,,,,,,,,,
19,Florida Panthers,35-26-8,,,,,,,,,,,,,,,,,,
20,Nashville Predators,35-26-8,,,,,,,,,,,,,,,,,,
21,Minnesota Wild,35-27-7,,,,,,,,,,,,,,,,,,
22,Arizona Coyotes,33-29-8,,,,,,,,,,,,,,,,,,
23,Chicago Blackhawks,32-30-8,,,,,,,,,,,,,,,,,,
24,Montreal Canadiens,31-31-9,,,,,,,,,,,,,,,,,,
25,Buffalo Sabres,30-31-8,,,,,,,,,,,,,,,,,,
26,New Jersey Devils,28-29-12,,,,,,,,,,,,,,,,,,
27,Anaheim Ducks,29-33-9,,,,,,,,,,,,,,,,,,
28,Los Angeles Kings,29-35-6,,,,,,,,,,,,,,,,,,
29,San Jose Sharks,29-36-5,,,,,,,,,,,,,,,,,,
30,Ottawa Senators,25-34-12,,,,,,,,,,,,,,,,,,
31,Detroit Red Wings,17-49-5,,,,,,,,,,,,,,,,,,
