Rk,Team,Overall,,,,,,,,,,,,,,,
1,Vegas Golden Knights,40-14-2,,,,,,,,,,,,,,,
2,Colorado Avalanche,39-13-4,,,,,,,,,,,,,,,
3,Carolina Hurricanes,36-12-8,,,,,,,,,,,,,,,
4,Florida Panthers,37-14-5,,,,,,,,,,,,,,,
5,Pittsburgh Penguins,37-16-3,,,,,,,,,,,,,,,
6,Washington Capitals,36-15-5,,,,,,,,,,,,,,,
7,Toronto Maple Leafs,35-14-7,,,,,,,,,,,,,,,
8,Tampa Bay Lightning,36-17-3,,,,,,,,,,,,,,,
9,Minnesota Wild,35-16-5,,,,,,,,,,,,,,,
10,Boston Bruins,33-16-7,,,,,,,,,,,,,,,
11,Edmonton Oilers,35-19-2,,,,,,,,,,,,,,,
12,New York Islanders,32-17-7,,,,,,,,,,,,,,,
13,Nashville Predators,31-23-2,,,,,,,,,,,,,,,
14,Winnipeg Jets,30-23-3,,,,,,,,,,,,,,,
15,St. Louis Blues,27-20-9,,,,,,,,,,,,,,,
16,New York Rangers,27-23-6,,,,,,,,,,,,,,,
17,Dallas Stars,23-19-14,,,,,,,,,,,,,,,
18,Montreal Canadiens,24-21-11,,,,,,,,,,,,,,,
19,Philadelphia Flyers,25-23-8,,,,,,,,,,,,,,,
20,Calgary Flames,26-27-3,,,,,,,,,,,,,,,
21,Chicago Blackhawks,24-25-7,,,,,,,,,,,,,,,
22,Arizona Coyotes,24-26-6,,,,,,,,,,,,,,,
23,Ottawa Senators,23-28-5,,,,,,,,,,,,,,,
24,Vancouver Canucks,23-29-4,,,,,,,,,,,,,,,
25,Los Angeles Kings,21-28-7,,,,,,,,,,,,,,,
26,San Jose Sharks,21-28-7,,,,,,,,,,,,,,,
27,Detroit Red Wings,19-27-10,,,,,,,,,,,,,,,
28,Columbus Blue Jackets,18-26-12,,,,,,,,,,,,,,,
29,New Jersey Devils,19-30-7,,,,,,,,,,,,,,,
30,Anaheim Ducks,17-30-9,,,,,,,,,,,,,,,
31,Buffalo Sabres,15-34-7,,,,,,,,,,,,,,,
