"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"292","David Pastrnak","BOS","R","82","1369.4833333333","34","49","38","11","83","91.21","242","14.05","21.86","472","332","209","75","20","43","34","16","16","0","0","32","101","38","56","80","23","3","5","37.50"
"246","Nathan MacKinnon","COL","C","79","1490.5333333333","23","55","36","19","78","78.00","256","8.98","23.24","459","347","256","80","13","39","29","13","12","1","0","21","108","26","34","60","57","661","687","49.04"
"141","Nikita Kucherov","T.B","R","78","1352.6666666667","29","46","32","14","75","74.26","201","14.43","19.46","422","291","209","73","14","38","43","16","14","1","1","28","105","27","20","54","33","1","1","50.00"
"276","Leon Draisaitl","EDM","C","71","1291.0166666667","36","36","22","14","72","81.82","178","20.22","20.4","303","246","168","66","15","32","34","17","17","0","0","28","80","34","22","76","27","524","450","53.80"
"456","Brandon Hagel","T.B","L","82","1327.7166666667","32","39","23","16","71","81.61","181","17.68","24.16","360","260","205","101","10","36","48","19","18","0","1","25","84","22","57","124","51","5","10","33.33"
"334","Connor McDavid","EDM","C","67","1255.1666666667","17","52","33","19","69","78.41","153","11.11","20.11","285","228","186","87","11","38","23","10","9","1","0","23","66","30","39","62","17","343","379","47.51"
"330","Kyle Connor","WPG","L","82","1375.5333333333","30","37","23","14","67","77.91","193","15.54","19.54","366","265","209","79","13","33","23","10","9","1","0","12","71","29","19","44","39","1","4","20.00"
"371","Mitch Marner","TOR","R","81","1309.9166666667","20","47","30","17","67","77.91","132","15.15","14.48","301","200","154","49","12","20","10","5","5","0","0","11","87","44","48","46","37","8","16","33.33"
"6","Sidney Crosby","PIT","C","80","1372.3833333333","21","43","25","18","64","75.29","165","12.73","22.38","313","257","170","78","10","24","31","14","13","1","0","18","71","26","61","39","39","844","656","56.27"
"380","Artemi Panarin","NYR","L","80","1322.75","29","34","19","15","63","84.00","176","16.48","18.84","412","288","192","49","27","32","16","8","8","0","0","12","86","21","17","37","9","0","1","0.00"
"147","Mark Scheifele","WPG","C","82","1434.25","28","34","24","10","62","70.45","131","21.37","19.87","263","210","182","96","14","25","59","20","17","1","2","26","92","24","72","118","58","500","523","48.88"
"342","Mikko Rantanen","CAR, COL, DAL","R","82","1422.6833333333","21","41","28","13","62","67.39","159","13.21","24.87","318","246","202","91","10","30","54","23","22","0","1","20","71","33","44","100","44","113","87","56.50"
"499","Robert Thomas","STL","C","70","1137.4","17","44","24","20","61","80.26","122","13.93","14.18","254","183","148","55","5","25","20","10","10","0","0","13","82","19","12","65","45","574","467","55.14"
"500","Jason Robertson","DAL","L","82","1206.2","26","35","17","18","61","84.72","146","17.81","15.88","287","204","142","56","11","23","18","9","9","0","0","19","86","20","56","71","45","7","12","36.84"
"498","Nick Suzuki","MTL","C","82","1312.5","24","36","20","16","60","68.97","133","18.05","15.45","263","194","150","58","11","22","6","3","3","0","0","11","69","27","57","77","65","530","481","52.42"
"673","Aliaksei Protas","WSH","C","76","1120.45","27","33","22","11","60","75.00","125","21.60","18.5","227","197","147","70","12","13","16","8","8","0","0","15","51","16","20","76","25","4","9","30.77"
"335","Jack Eichel","VGK","C","77","1247.6333333333","22","36","17","19","58","67.44","170","12.94","15.86","308","233","163","68","10","25","6","3","3","0","0","15","74","26","21","52","42","488","587","45.40"
"350","Travis Konecny","PHI","R","82","1360.3166666667","15","41","28","13","56","84.85","142","10.56","14.65","307","221","146","42","10","21","49","23","22","1","0","24","85","22","84","73","30","30","48","38.46"
"446","Tage Thompson","BUF","C","76","1198.0666666667","37","19","13","6","56","72.73","189","19.58","17.47","394","277","176","69","13","36","33","11","9","1","1","12","48","17","68","57","31","256","358","41.69"
"57","Matt Duchene","DAL","C","82","1192.8166666667","22","33","16","17","55","75.34","124","17.74","17.26","228","178","135","60","9","25","12","6","6","0","0","8","69","19","29","55","21","390","351","52.63"
