"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"270","Alex Tuch","BUF","R","82","176.83333333333","6","3","3","0","9","90.00","25","24.00","2.26","29","28","17","7","1","3","2","1","1","0","0","0","2","8","7","3","15","25","26","49.02"
"122","Vincent Trocheck","NYR","C","82","182.21666666667","6","1","1","0","7","70.00","19","31.58","2.86","26","26","13","4","4","0","0","0","0","0","0","2","4","7","5","3","11","126","93","57.53"
"324","Sebastian Aho","CAR","C","79","135.95","3","4","4","0","7","100.00","12","25.00","1.47","21","16","15","8","0","1","4","2","2","0","0","1","3","0","1","7","6","22","38","36.67"
"356","Anthony Cirelli","T.B","C","80","164.98333333333","4","3","3","0","7","77.78","16","25.00","2.81","24","20","17","7","1","1","2","1","1","0","0","5","5","2","0","2","13","72","75","48.98"
"425","Brandon Hagel","T.B","L","82","153.96666666667","3","4","4","0","7","87.50","21","14.29","2.12","32","26","22","7","3","3","0","0","0","0","0","1","3","6","1","4","8","1","1","50.00"
"644","Seth Jarvis","CAR","C","73","136.15","5","2","2","0","7","87.50","23","21.74","2.35","28","28","16","8","0","3","0","0","0","0","0","2","5","6","4","10","11","4","10","28.57"
"139","Mika Zibanejad","NYR","C","82","163.61666666667","0","6","5","1","6","85.71","9","0.00","1.08","16","14","8","5","4","2","0","0","0","0","0","2","4","6","1","3","6","61","70","46.56"
"260","Sam Reinhart","FLA","C","79","123.31666666667","5","1","1","0","6","75.00","10","50.00","0.99","15","14","11","3","0","1","2","1","1","0","0","1","6","3","3","1","13","36","72","33.33"
"302","Jake Evans","MTL","C","82","232.7","3","3","3","0","6","85.71","14","21.43","1.63","20","17","14","5","2","0","0","0","0","0","0","6","5","1","5","5","15","123","135","47.67"
"511","Ryan McLeod","BUF","C","79","183.2","3","3","2","1","6","75.00","11","27.27","1.21","22","16","9","5","2","1","0","0","0","0","0","3","6","0","0","2","4","110","110","50.00"
