"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"314","Mike Reilly","MTL, OTT","D","44","15.75","0.35795454545455","0","3.81","0","3.81","3.81","50.00","0","-","0","3.81","0","0","0","0","0","0","0","0","0","0","0","0","7.62","0","0","0","0","0","-"
"511","Haydn Fleury","CAR","D","45","35.316666666667","0.78481481481481","0","1.7","0","1.7","1.7","inf","0","-","0.82","1.7","1.7","0","0","1.7","0","0","0","0","0","0","0","3.4","5.1","0","3.4","3.4","0","0","-"
"241","Greg McKegg","NYR","C","53","51.1","0.96415094339623","1.17","1.17","0","1.17","2.35","100.00","2.35","50.00","1.11","3.52","3.52","1.17","1.17","0","0","0","0","0","0","0","0","1.17","2.35","4.7","1.17","5.87","11.74","14.09","53.37"
"422","Kurtis MacDermid","L.A","D","45","51.416666666667","1.1425925925926","0","1.17","0","1.17","1.17","33.33","2.33","0.00","0","2.33","2.33","0","0","0","0","0","0","0","0","0","0","2.33","0","5.83","2.33","14","0","0","-"
"707","Mario Ferraro","S.J","D","61","51.2","0.83934426229508","0","1.17","0","1.17","1.17","33.33","1.17","0.00","0","1.17","1.17","0","0","0","0","0","0","0","0","0","1.17","0","0","3.52","2.34","7.03","0","0","-"
"36","Joe Pavelski","DAL","C","67","53.316666666667","0.79577114427861","0","1.13","0","1.13","1.13","100.00","2.25","0.00","0.07","3.38","3.38","1.13","0","0","0","0","0","0","0","0","2.25","1.13","3.38","1.13","1.13","4.5","46.14","38.26","61.52"
"390","Adam Pelech","NYI","D","38","105.83333333333","2.7850877192982","0","1.13","0","1.13","1.13","66.67","2.83","0.00","0.04","2.83","2.83","0","0","0","0","0","0","0","0","0","0","2.27","0.57","3.97","0","10.77","0","0","-"
"141","Zach Bogosian","BUF, T.B","D","27","57.55","2.1314814814815","0","1.04","0","1.04","1.04","50.00","1.04","0.00","0","1.04","1.04","0","0","0","0","0","0","0","0","0","0","2.09","2.09","4.17","3.13","6.26","0","0","-"
"206","Dmitry Orlov","WSH","D","69","62.683333333333","0.90845410628019","0","0.96","0","0.96","0.96","100.00","2.87","0.00","0.13","4.79","3.83","0.96","0.96","0","0","0","0","0","0","0","0.96","1.91","2.87","5.74","0.96","7.66","0","0","-"
"119","Carl Gunnarsson","STL","D","36","67.75","1.8819444444444","0","0.89","0","0.89","0.89","50.00","1.77","0.00","0.02","1.77","1.77","0","0","0.89","0","0","0","0","0","0","0","3.54","0.89","0.89","3.54","10.63","0","0","-"
"246","Jon Merrill","VGK","D","49","69.283333333333","1.4139455782313","0","0.87","0","0.87","0.87","50.00","1.73","0.00","0.02","1.73","1.73","0","0","0","0","0","0","0","0","0","0","1.73","0.87","1.73","0","7.79","0","0","-"
"381","Matt Grzelcyk","BOS","D","68","70.433333333333","1.0357843137255","0","0.85","0","0.85","0.85","50.00","1.7","0.00","0","2.56","1.7","0","0","0.85","0.85","1.7","0.85","0.85","0","0","0","0.85","2.56","2.56","2.56","2.56","0","0","-"
