"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"508","Leon Draisaitl","EDM","C","71","271.85","16","28","16","12","44","78.57","62","25.81","10.54","142","103","93","24","1","10","2","1","1","0","0","0","17","3","1","14","0","158","114","58.09"
"573","Connor McDavid","EDM","C","64","248.86666666667","11","32","19","13","43","81.13","57","19.30","5.97","96","67","59","9","1","6","0","0","0","0","0","2","12","3","3","10","1","13","8","61.90"
"528","David Pastrnak","BOS","R","70","264.43333333333","20","18","11","7","38","79.17","79","25.32","9.55","159","114","62","21","0","9","2","1","1","0","0","1","25","3","3","20","0","0","3","0.00"
"473","Nathan MacKinnon","COL","C","69","283.71666666667","12","19","10","9","31","83.78","84","14.29","7.65","148","105","58","10","1","8","0","0","0","0","0","1","11","3","7","10","1","22","41","34.92"
"333","Jonathan Huberdeau","FLA","C, L","69","246.91666666667","5","24","17","7","29","78.38","32","15.63","5.25","74","53","42","15","1","5","4","2","2","0","0","2","13","4","2","8","1","3","4","42.86"
"78","Brad Marchand","BOS","C, L","70","259.06666666667","5","23","8","15","28","62.22","52","9.62","6.44","84","70","44","16","2","8","0","0","0","0","0","1","10","1","2","16","0","2","4","33.33"
"356","Torey Krug","BOS","D","61","235.78333333333","2","26","16","10","28","68.29","44","4.55","3.35","71","52","20","4","0","6","4","2","2","0","0","1","12","1","2","7","2","0","0","-"
"119","David Perron","STL","L","71","213.91666666667","9","18","6","12","27","79.41","55","16.36","6","107","79","50","9","2","4","2","1","1","0","0","0","10","3","2","3","0","0","0","-"
"336","Mika Zibanejad","NYR","C","57","208.53333333333","15","12","6","6","27","84.38","60","25.00","9.08","102","83","60","31","0","7","0","0","0","0","0","1","6","2","1","14","1","100","87","53.48"
"574","Jack Eichel","BUF","C","68","262.18333333333","11","16","8","8","27","84.38","61","18.03","4.45","102","76","37","6","0","9","6","2","2","0","0","0","12","2","4","9","0","117","101","53.67"
"154","John Carlson","WSH","D","69","276.21666666667","2","24","17","7","26","78.79","38","5.26","3.71","81","58","23","3","0","8","0","0","0","0","0","1","9","8","8","4","5","0","0","-"
"330","Nikita Kucherov","T.B","R","68","238.68333333333","4","21","13","8","25","71.43","45","8.89","5.12","97","75","43","7","1","6","2","1","1","0","0","0","16","5","3","5","0","0","0","-"
"343","J.T. Miller","VAN","C","69","264.66666666667","9","16","8","8","25","64.10","40","22.50","5.96","65","58","45","23","0","3","4","2","2","0","0","1","4","1","7","4","1","33","9","78.57"
"653","Auston Matthews","TOR","C","70","226.96666666667","12","13","6","7","25","71.43","76","15.79","7.37","124","98","63","10","0","4","2","1","1","0","0","0","3","3","0","13","0","20","19","51.28"
"744","Neal Pionk","WPG","D","71","206.88333333333","3","22","10","12","25","86.21","44","6.82","2.62","73","53","11","2","2","11","2","1","1","0","0","0","6","3","7","3","2","0","0","-"
"763","Quinn Hughes","VAN","D","68","256.13333333333","3","22","12","10","25","69.44","41","7.32","3.14","105","59","19","2","1","7","4","2","2","0","0","1","13","4","1","3","3","0","0","-"
"39","Evgeni Malkin","PIT","C","55","198.88333333333","7","17","9","8","24","92.31","49","14.29","5.2","104","69","40","10","1","12","14","7","7","0","0","3","17","4","2","4","1","47","38","55.29"
"331","Ryan Nugent-Hopkins","EDM","C","65","243.53333333333","7","17","8","9","24","48.00","45","15.56","5.85","80","62","53","20","1","2","6","3","3","0","0","0","11","2","0","9","0","4","2","66.67"
"609","Mitchell Marner","TOR","C, R","59","190.76666666667","6","18","9","9","24","75.00","37","16.22","4.29","67","54","34","4","1","4","0","0","0","0","0","2","12","6","2","2","0","0","0","-"
"623","Artemi Panarin","NYR","C, L","69","252.53333333333","7","17","6","11","24","61.54","53","13.21","5.14","114","74","50","7","0","6","0","0","0","0","0","1","14","3","2","3","0","0","0","-"
"122","Patrick Kane","CHI","R","70","259","8","15","9","6","23","85.19","68","11.76","7.68","127","86","71","16","1","8","8","4","4","0","0","0","10","3","0","9","0","0","0","-"
"156","Roman Josi","NSH","D","69","229.2","4","19","10","9","23","85.19","70","5.71","4.26","125","90","31","1","0","11","0","0","0","0","0","1","8","2","1","4","5","0","0","-"
"588","Travis Konecny","PHI","C, R","66","190.45","5","18","8","10","23","82.14","22","22.73","3.68","44","36","25","12","0","0","8","4","4","0","0","2","11","2","2","10","1","4","0","100.00"
"724","Elias Pettersson","VAN","C","68","261.55","8","15","9","6","23","62.16","60","13.33","5.9","124","96","53","5","0","2","0","0","0","0","0","3","7","6","4","13","1","0","0","-"
"41","Blake Wheeler","WPG","R","71","230.06666666667","4","18","12","6","22","61.11","40","10.00","3.69","70","59","30","1","0","6","6","3","3","0","0","1","6","0","1","6","2","34","34","50.00"
"141","Alex Pietrangelo","STL","D","70","219.91666666667","6","16","9","7","22","62.86","52","11.54","3.94","98","71","29","3","0","6","0","0","0","0","0","1","6","1","1","2","1","0","0","-"
"190","Victor Hedman","T.B","D","66","201.66666666667","4","18","9","9","22","73.33","39","10.26","3.44","67","52","23","4","0","7","0","0","0","0","0","0","4","1","3","2","4","0","0","-"
"57","Anze Kopitar","L.A","C","70","202.15","7","14","6","8","21","87.50","35","20.00","3.83","67","45","26","9","0","5","0","0","0","0","0","3","4","2","2","2","0","118","92","56.19"
"67","Keith Yandle","FLA","D","69","254.03333333333","2","19","8","11","21","56.76","42","4.76","2.41","77","53","17","2","0","4","2","1","1","0","0","1","9","5","0","1","3","0","0","-"
"181","Mike Hoffman","FLA","C, L","69","251.8","11","10","5","5","21","56.76","83","13.25","8.04","183","118","67","7","1","13","6","3","3","0","0","0","16","4","1","7","1","1","4","20.00"
"189","John Tavares","TOR","C","63","191.01666666667","7","14","9","5","21","60.00","32","21.88","5.92","60","52","49","23","1","5","0","0","0","0","0","0","3","3","2","5","0","127","98","56.44"
"193","Brayden Schenn","STL","C","71","204.58333333333","10","11","8","3","21","56.76","40","25.00","6","71","50","53","22","0","2","2","1","1","0","0","3","8","0","4","6","0","20","21","48.78"
"256","Jaden Schwartz","STL","C, L","71","202.33333333333","9","12","8","4","21","60.00","35","25.71","6.54","53","49","47","34","0","7","2","1","1","0","0","0","3","0","4","9","0","0","2","0.00"
"377","Teuvo Teravainen","CAR","L","68","204.8","4","17","10","7","21","67.74","52","7.69","5.71","91","69","44","12","0","9","2","1","1","0","0","0","9","2","1","3","1","2","3","40.00"
"31","Patrice Bergeron","BOS","C","61","219.73333333333","11","9","4","5","20","45.45","61","18.03","8.32","100","81","81","26","0","4","6","3","3","0","0","0","4","7","3","6","2","163","124","56.79"
"88","Claude Giroux","PHI","C, R","69","214.86666666667","7","13","9","4","20","71.43","52","13.46","4.54","79","65","26","7","1","5","6","3","3","0","0","0","5","1","3","8","1","99","71","58.24"
"337","Mark Scheifele","WPG","C","71","233.63333333333","10","10","7","3","20","57.14","60","16.67","8.83","95","80","74","24","0","8","2","1","1","0","0","0","3","5","2","9","1","109","107","50.46"
"474","Aleksander Barkov","FLA","C","66","225.33333333333","7","13","6","7","20","58.82","38","18.42","7.1","60","56","45","32","0","4","0","0","0","0","0","2","6","4","1","6","1","160","104","60.61"
"769","Andrei Svechnikov","CAR","R","68","201.06666666667","6","14","8","6","20","66.67","54","11.11","5.17","96","70","46","12","2","9","6","3","3","0","0","3","12","2","5","7","0","0","0","-"
"127","Max Pacioretty","VGK","L","71","174.21666666667","8","11","7","4","19","65.52","65","12.31","6.53","138","96","60","10","0","11","2","1","1","0","0","1","9","4","2","9","0","7","2","77.78"
"140","Steven Stamkos","T.B","C","57","186.3","10","9","5","4","19","67.86","61","16.39","6.07","116","85","56","5","0","5","0","0","0","0","0","0","8","1","2","6","2","65","39","62.50"
"477","Elias Lindholm","CGY","C","70","197.73333333333","8","11","5","6","19","67.86","44","18.18","6.24","62","54","39","21","0","2","2","1","1","0","0","0","4","3","1","4","0","45","39","53.57"
"523","Tony DeAngelo","NYR","D","68","205.03333333333","3","16","8","8","19","61.29","33","9.09","2.26","62","42","19","2","0","6","0","0","0","0","0","0","5","2","1","2","0","0","0","-"
"650","Matthew Tkachuk","CGY","L","69","197.55","5","14","8","6","19","65.52","40","12.50","5.81","69","53","44","23","0","8","0","0","0","0","0","3","14","1","2","3","0","0","1","0.00"
"737","Cale Makar","COL","D","57","213.36666666667","4","15","9","6","19","65.52","37","10.81","3.85","106","71","30","2","0","6","2","1","1","0","0","1","11","3","1","6","1","0","0","-"
"770","Rasmus Dahlin","BUF","D","59","197.03333333333","2","17","12","5","19","67.86","33","6.06","2.55","72","49","17","3","1","3","10","5","5","0","0","0","8","1","2","5","1","0","0","-"
"20","Ryan Suter","MIN","D","69","201.86666666667","2","16","7","9","18","58.06","26","7.69","1.68","58","36","16","1","0","4","2","1","1","0","0","1","0","1","1","1","6","0","0","-"
"25","Zach Parise","MIN","L","69","192.26666666667","12","6","4","2","18","58.06","43","27.91","7.79","63","59","54","40","0","5","2","1","1","0","0","0","0","2","1","7","0","13","9","59.09"
"38","Alex Ovechkin","WSH","L","68","330.28333333333","13","5","3","2","18","47.37","92","14.13","9.07","192","141","55","4","0","10","4","2","2","0","0","0","11","8","13","2","0","0","0","-"
"94","Nicklas Backstrom","WSH","C","61","228.26666666667","2","16","3","13","18","64.29","32","6.25","3.89","52","42","27","11","0","4","4","2","2","0","0","0","11","3","2","3","0","54","70","43.55"
"184","Kyle Palmieri","N.J","C, R","65","206.33333333333","11","7","2","5","18","62.07","44","25.00","7.58","78","68","56","25","1","3","2","1","1","0","0","1","2","1","9","7","1","1","1","50.00"
