"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"406","Matt Taormina","T.B","D","3","0.36666666666667","0.12222222222222","0","490.91","0.00","0","327.27","0.00","0","163.64","0.00","0","0","-","0","8.93","0.00","0","163.64","0.00","0","0","-","0","0","-","0","218.18","0.00","0","0","-","0","472.73","0.00","0","0","-","-","100.00","1.00","0","0","163.64","0","0.00","0","0","327.27","0.00"
"190","Mike Santorelli","ANA","C","70","0.26666666666667","0.0038095238095238","0","450","0.00","0","450","0.00","0","450","0.00","0","225","0.00","0","101.73","0.00","0","450","0.00","0","450","0.00","0","225","0.00","0","0","-","0","0","-","0","0","-","0","0","-","-","50.00","0.50","0","225","0","225","-","0","225","0","-"
"708","Sven Andrighetto","MTL","R","44","0.28333333333333","0.0064393939393939","0","423.53","0.00","0","211.76","0.00","0","211.76","0.00","0","0","-","0","10.42","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","611.76","0.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"553","Taylor Fedun","VAN","D","1","0.15","0.15","0","400","0.00","0","400","0.00","0","0","-","0","0","-","0","42.61","0.00","0","400","0.00","0","400","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","400","0","0.00","0","0","400","0.00"
"26","Brad Richards","DET","C","68","0.65","0.0095588235294118","0","369.23","0.00","0","276.92","0.00","0","184.62","0.00","0","0","-","0","24.27","0.00","0","276.92","0.00","0","92.31","0.00","0","0","-","0","246.15","0.00","0","0","-","0","133.33","0.00","0","0","-","-","100.00","1.00","0","0","92.31","184.62","0.00","0","0","184.62","0.00"
"567","Max McCormick","OTT","R","20","1.3333333333333","0.066666666666667","45","315","12.50","45","315","12.50","45","270","14.29","0","45","0.00","1.08","41.87","2.51","0","180","0.00","0","90","0.00","0","45","0.00","0","120","0.00","0","0","-","65","195","25.00","0","0","-","0.00","83.33","0.833","0","45","0","135","-","0","45","45","0.00"
"65","Ales Hemsky","DAL","R","75","0.58333333333333","0.0077777777777778","0","308.57","0.00","0","205.71","0.00","0","102.86","0.00","0","102.86","0.00","0","18.82","0.00","0","102.86","0.00","0","102.86","0.00","0","102.86","0.00","0","0","-","0","0","-","0","148.57","0.00","0","0","-","-","0.00","0.00","0","0","0","205.71","-","0","0","0","-"
"531","Teemu Pulkkinen","DET","L","36","0.4","0.011111111111111","0","300","0.00","0","300","0.00","0","150","0.00","0","0","-","0","25.07","0.00","0","150","0.00","0","150","0.00","0","0","-","0","0","-","0","0","-","0","216.67","0.00","0","0","-","-","100.00","1.00","0","0","0","150","-","0","0","0","-"
"784","Markus Hannikainen","CBJ","L","4","0.2","0.05","0","300","0.00","0","300","0.00","0","0","-","0","0","-","0","9.71","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","433.33","0.00","0","0","-","-","-","-","0","0","0","300","-","0","0","0","-"
"745","Ronalds Kenins","VAN","L","8","0.83333333333333","0.10416666666667","0","288","0.00","0","288","0.00","0","216","0.00","0","0","-","0","43.09","0.00","0","288","0.00","0","288","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","72","0","0","-","0","72","0","-"
"764","William Nylander","TOR","C","22","0.23333333333333","0.010606060606061","0","257.14","0.00","0","257.14","0.00","0","257.14","0.00","0","257.14","0.00","0","175.22","0.00","0","257.14","0.00","0","0","-","0","0","-","0","342.86","0.00","0","342.86","0.00","0","0","-","0","0","-","-","0.00","0.00","0","0","0","514.29","-","0","0","0","-"
"310","Chris Terry","CAR","L","68","0.48333333333333","0.0071078431372549","248.28","248.28","50.00","248.28","248.28","50.00","248.28","0","100.00","0","0","-","37.76","21.68","63.53","248.28","124.14","66.67","124.14","0","100.00","0","0","-","165.52","165.52","50.00","0","0","-","0","179.31","0.00","0","0","-","0.00","-","0.00","0","0","0","124.14","-","0","0","0","-"
"787","Jakub Nakladal","CGY","D","27","0.25","0.0092592592592593","0","240","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","346.67","0.00","0","0","-","-","-","-","0","0","240","240","0.00","0","0","240","0.00"
