"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"330","Steve Downie","COL, PHI","R","62","0.066666666666667","0.0010752688172043","-13.73","815.48","-13.97","-12.14","-63.14","-","-9.83","-46.38","-","-1.16","-4.77","-","-0.77","-6.15","-","-5.49","858.39","-11.66","-2.46","-18.35","-","-0.43","-3.03","-","-4.05","1168.98","-11.54","-0.58","-0.96","-37.50","-5.43","-56.77","-","0","-1.46","0.00","-","-","-","0","0","900","0","0.00","0","0","900","0.00"
"177","Pierre-Marc Bouchard","NYI","C","28","0.066666666666667","0.0023809523809524","-15.49","798.48","-13.24","-13.77","824.72","-15.46","-9.03","849.67","-15.22","-0.86","-11.18","-","-1.7","83.55","-19.76","-9.46","847.09","-15.17","-6.45","-19.36","-","-0.86","-4.73","-","-4.01","1155.26","-8.24","0","-5.16","0.00","-3.73","-58.41","-","0","-3.11","0.00","-","100.00","1.00","0","0","0","0","-","0","900","0","-"
"492","Colin Wilson","NSH","C, L","81","0.48333333333333","0.0059670781893004","-8.42","274.27","-7.90","-7.04","301.68","-9.06","-5.36","199.59","-9.92","-0.31","-7.04","-","-0.3","37.93","-4.50","-3.06","324.19","-5.97","-0.92","104.85","-4.55","0","-3.22","-","-2.86","292.45","-6.90","-0.41","-3.67","-10.00","-3.54","-62.59","-","0","-1.55","0.00","-","100.00","1.00","0","0","248.28","496.55","0.00","0","0","248.28","0.00"
"596","Ben Hanowski","CGY","R","11","0.16666666666667","0.015151515151515","-15.68","265.91","-14.29","-14.56","299.51","-19.40","-13.44","-35.84","-","-4.48","-2.24","-","-1.12","20.64","-17.02","-11.2","315.2","-20.00","-5.6","-15.68","-","-2.24","-2.24","-","-7.47","441.17","-16.13","-2.99","0","-100.00","-3.24","-66.33","-","0","0","-","-","-","-","0","0","0","360","-","0","0","0","-"
"83","Brian McGrattan","CGY","R","76","0.9","0.011842105263158","-14","238.68","-12.89","-12.23","132.23","-15.29","-9.5","84.88","-16.39","-1.93","-6.92","-","-1.05","-0.07","-13.83","-8.53","155.25","-16.01","-4.67","-19.96","-","-1.61","-3.38","-","-5.15","233.61","-13.48","-0.43","-2.15","-16.67","-6.51","126.79","-9.00","0","-2.56","0.00","-","100.00","1.00","0","0","66.67","133.33","0.00","0","0","66.67","0.00"
"260","David Clarkson","TOR","R","60","0.35","0.0058333333333333","-7.82","235.98","-6.82","-6.89","259.25","-7.61","-5.96","283.46","-9.12","-1.12","163.05","-11.76","-0.56","10.6","-7.05","-3.91","296.87","-7.84","-1.49","-21.41","-","-0.37","-3.72","-","-3.23","424.37","-8.97","-0.5","225.34","-13.33","-3.5","-83.91","-","-0.27","-3.23","-7.69","-","50.00","0.50","171.43","0","171.43","342.86","50.00","171.43","0","171.43","50.00"
"486","Ville Leino","BUF","L","58","0.63333333333333","0.010919540229885","-8.54","181.91","-7.70","-7.63","206.08","-8.90","-6.18","131.51","-9.63","-0.73","88.2","-10.00","-0.47","14.85","-6.29","-3.82","41.86","-6.73","-1.82","-22.17","-","-0.36","-2.18","-","-2.66","85.37","-6.11","-0.24","122.92","-6.67","-4.2","71.75","-6.06","-0.26","-2.62","-9.09","-","50.00","0.50","0","94.74","0","189.47","-","0","94.74","94.74","0.00"
"625","Adam Almquist","DET","D","2","0.45","0.225","-22.11","164.95","-17.86","-17.69","58.15","-19.05","-17.69","89.11","-28.57","-4.42","-4.42","-","-1.83","9.08","-25.71","-13.27","97.95","-27.27","-8.85","128.91","-66.67","0","0","-","-5.9","-41.28","-","0","-5.9","0.00","-12.78","-89.43","-","-6.39","0","-100.00","-","100.00","1.00","0","0","266.67","0","0.00","0","0","266.67","0.00"
"584","Peter Holland","ANA, TOR","C","43","0.45","0.01046511627907","-7.14","153.85","-5.95","-6","179.84","-6.46","-5.14","71.64","-7.69","-0.57","-9.14","-","-0.45","58.84","-6.10","-3.71","220.4","-7.43","-2","114.77","-9.72","-0.57","-4","-","-2.28","140.84","-5.83","0","-3.43","0.00","-3.3","-90.35","-","0","-3.71","0.00","-","100.00","1.00","0","266.67","133.33","0","0.00","0","266.67","133.33","0.00"
"748","Alex Galchenyuk","MTL","C","65","1.2666666666667","0.019487179487179","-13.43","134.54","-11.60","-10.41","71.49","-12.85","-8.6","43.74","-14.43","-0.6","-5.13","-","-0.86","11.57","-11.54","-7.39","141.79","-13.42","-3.62","28.36","-16.00","-0.15","-3.17","-","-5.03","151.25","-11.63","-0.4","-1.21","-25.00","-5.88","-3.28","-7.58","-0.22","-1.31","-14.29","-","100.00","1.00","0","47.37","47.37","47.37","0.00","0","47.37","47.37","0.00"
"626","Craig Cunningham","BOS","L","2","0.58333333333333","0.29166666666667","-15.38","128.79","-16.67","-15.38","144.18","-20.00","-15.38","159.56","-25.00","0","102.86","-","-1.51","12.37","-21.57","-15.38","64.4","-28.57","0","79.78","0.00","0","0","-","-20.51","-20.51","-","0","0","-","0","93.02","0.00","0","148.57","0.00","-","50.00","0.50","0","0","102.86","102.86","0.00","0","0","102.86","0.00"
"187","Joffrey Lupul","TOR","L","69","1.8166666666667","0.026328502415459","-8.42","127.17","-7.49","-6.94","116.59","-7.84","-6.27","73.49","-9.67","-0.99","-7.1","-","-0.59","5.9","-7.84","-4.62","87.03","-9.30","-2.15","-18.82","-","-0.5","-3.14","-","-3.3","141.14","-8.62","-0.44","-2.64","-14.29","-3.58","63.46","-4.30","0","-2.86","0.00","-","100.00","1.00","0","33.03","33.03","165.14","0.00","0","33.03","33.03","0.00"
"686","Jason Akeson","PHI","R","1","0.53333333333333","0.53333333333333","-19.3","118.83","-15.38","-19.3","-77.21","-","-19.3","-77.21","-","0","-9.65","-","-0.08","-10.52","-","0","73.89","0.00","0","-28.95","-","0","-9.65","-","0","137.13","0.00","0","0","-","0","92.79","0.00","0","0","-","-","-","-","0","0","0","112.5","-","0","0","0","-"
