"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"5","Mikko Koivu","CBJ","C","7","0.23333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"21","Brad Richardson","NSH","R","17","3.5833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","12","100.00","1","0","0","100.00"
"22","Nate Thompson","WPG","C","44","3.35","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","3","1","0","7","100.00","3","1","1","75.00"
"34","Andrej Sekera","DAL","D","46","2.75","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","2","0","1","6","66.67","2","0","1","66.67"
"52","Ryan Reaves","VGK","R","37","1.0333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","2","0","0","7","100.00","3","0","0","100.00"
"58","Erik Johnson","COL","D","4","1.9666666666667","4","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.16","0","100.00","3","0","100.00","0","0","-","0","0","-","3","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","2","100.00","1","1","0","100.00"
"60","Trevor Lewis","WPG","C","56","4.45","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","2","1","0","9","100.00","2","1","1","66.67"
"86","Riley Nash","CBJ","C","37","4.5166666666667","6","0","100.00","4","0","100.00","1","0","100.00","0","0","-","0.2","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","3","1","0","8","100.00","3","1","0","100.00"
"90","Colton Sceviour","PIT","C, R","46","1.65","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.21","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","5","-","0","1","0","-"
"95","Robert Bortuzzo","STL","D","40","0.98333333333333","3","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","0","0","4","100.00","1","0","0","100.00"
"103","Carl Hagelin","WSH","L","56","3.35","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","1","1","3","66.67","2","1","1","66.67"
"109","Jay Beagle","VAN","C","30","0.6","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","5","100.00","1","0","0","100.00"
"125","Travis Hamonic","VAN","D","38","0.63333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","3","100.00","1","0","0","100.00"
"127","Marco Scandella","STL","D","49","2.65","4","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","2","0","10","100.00","1","2","1","50.00"
"148","Kyle Clifford","STL","L","50","2.15","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","0","0","9","100.00","1","2","0","100.00"
"161","Dmitry Kulikov","EDM, N.J","D","48","2.3833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","2","0","7","100.00","3","3","0","100.00"
"170","Brandon Pirri","CHI","C","1","0.9","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","0","0","100.00","2","0","0","100.00"
"186","Nick Jensen","WSH","D","53","1.7","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","7","-","1","2","0","100.00"
