"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"681","Nick Caamano","DAL","R","12","0.15","0.0125","0","400","0.00","0","400","0.00","0","400","0.00","0","0","-","0","9.98","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","577.78","0.00","0","0","-","-","100.00","1.00","0","400","0","800","-","0","0","0","-"
"103","Paul Carey","BOS","C","1","0.51666666666667","0.51666666666667","0","232.26","0.00","0","232.26","0.00","0","232.26","0.00","0","0","-","0","10.22","0.00","0","116.13","0.00","0","0","-","0","0","-","0","154.84","0.00","0","0","-","0","167.74","0.00","0","0","-","-","100.00","1.00","0","0","0","116.13","-","0","0","0","-"
"488","Curtis Lazar","BUF","C","38","0.88333333333333","0.023245614035088","0","203.77","0.00","0","135.85","0.00","0","67.92","0.00","0","0","-","0","6.49","0.00","0","67.92","0.00","0","0","-","0","0","-","0","90.57","0.00","0","0","-","0","196.23","0.00","0","0","-","-","100.00","1.00","0","135.85","67.92","135.85","0.00","0","135.85","67.92","0.00"
"175","Luke Witkowski","T.B","R","12","0.33333333333333","0.027777777777778","0","180","0.00","0","180","0.00","0","180","0.00","0","0","-","0","33.78","0.00","0","180","0.00","0","180","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","180","-","0","0","0","-"
"219","Kevin Connauton","COL","D","4","0.41666666666667","0.10416666666667","144","144","50.00","144","144","50.00","0","144","0.00","0","0","-","8.43","0.48","94.59","144","0","100.00","0","0","-","0","0","-","192","0","100.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","144","0","0","0","100.00","144","0","0","100.00"
"651","Joey Anderson","N.J","R","18","1.45","0.080555555555556","0","124.14","0.00","0","124.14","0.00","0","124.14","0.00","0","0","-","0","24.93","0.00","0","124.14","0.00","0","82.76","0.00","0","0","-","0","55.17","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","165.52","-","0","0","41.38","0.00"
"603","Jeremy Lauzon","BOS","D","19","0.51666666666667","0.02719298245614","116.13","116.13","50.00","116.13","116.13","50.00","116.13","116.13","50.00","0","0","-","3.16","17.36","15.38","0","116.13","0.00","0","116.13","0.00","0","0","-","0","0","-","0","0","-","167.74","0","100.00","0","0","-","0.00","100.00","1.000","0","0","0","232.26","-","0","0","0","-"
"605","Mathieu Joseph","T.B","R","37","3.45","0.093243243243243","34.78","86.96","28.57","17.39","86.96","16.67","17.39","86.96","16.67","0","0","-","0.45","4.48","9.12","0","52.17","0.00","0","0","-","0","0","-","0","69.57","0.00","0","0","-","50.24","25.12","66.67","0","0","-","0.00","100.00","1.000","0","34.78","17.39","121.74","0.00","0","34.78","52.17","0.00"
"455","Ryan Graves","COL","D","69","5.5833333333333","0.080917874396135","10.75","85.97","11.11","0","64.48","0.00","0","42.99","0.00","0","0","-","0","2.67","0.00","10.75","21.49","33.33","0","10.75","0.00","0","0","-","14.33","14.33","50.00","0","0","-","0","46.57","0.00","0","0","-","-","100.00","1.00","42.99","21.49","10.75","128.96","80.00","42.99","21.49","21.49","66.67"
"646","Adam Brooks","TOR","C","7","0.7","0.1","0","85.71","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","85.71","0.00","0","0","-","0","0","-","0","114.29","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","0","-","85.71","0","0","100.00"
"702","Joachim Blichfeld","S.J","R","3","0.71666666666667","0.23888888888889","0","83.72","0.00","0","83.72","0.00","0","83.72","0.00","0","0","-","0","11.03","0.00","0","83.72","0.00","0","83.72","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","167.44","-","0","0","0","-"
"270","Joakim Nordstrom","BOS","C","48","1.4666666666667","0.030555555555556","122.73","81.82","60.00","40.91","81.82","33.33","0","40.91","0.00","0","0","-","1.04","1.79","36.73","40.91","0","100.00","0","0","-","0","0","-","54.55","0","100.00","0","0","-","118.18","118.18","50.00","0","0","-","-","100.00","1.00","122.73","0","81.82","368.18","60.00","163.64","0","81.82","66.67"
"654","Maxime Lajoie","OTT","D","6","0.73333333333333","0.12222222222222","0","81.82","0.00","0","81.82","0.00","0","0","-","0","0","-","0","0.92","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","118.18","0.00","0","0","-","-","-","-","81.82","0","0","81.82","100.00","81.82","0","0","100.00"
"138","Jay Beagle","VAN","C","55","2.25","0.040909090909091","0","80","0.00","0","26.67","0.00","0","26.67","0.00","0","0","-","0","0.8","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","115.56","0.00","0","0","-","-","100.00","1.00","160","53.33","0","346.67","100.00","186.67","80","0","100.00"
"86","Cal Clutterbuck","NYI","R","37","1.5166666666667","0.040990990990991","118.68","79.12","60.00","79.12","39.56","66.67","79.12","39.56","66.67","0","0","-","7.3","2.35","75.66","0","39.56","0.00","0","39.56","0.00","0","0","-","0","0","-","0","0","-","171.43","0","100.00","0","0","-","0.00","100.00","1.000","118.68","39.56","0","197.8","100.00","118.68","39.56","0","100.00"
