"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"379","Justin Bailey","VAN","R","14","0.05","0.0035714285714286","-108.92","1183.98","-87.18","-81.69","1185.58","-85.00","-64.07","1187.19","-83.33","-5.61","-0.8","-","-6.94","-0.29","-86.45","-56.86","-6.41","-","-15.22","-3.2","-","-2.4","0","-","-55.53","-4.27","-","-3.2","-1.07","-75.00","-71.72","-3.47","-","-1.16","0","-100.00","-","100.00","1.00","0","1200","0","1200","-","0","1200","0","-"
"803","Josiah Slavin","CHI","L","15","0.38333333333333","0.025555555555556","83.46","453.79","-57.24","103.39","455.45","-54.01","114.18","144.07","-27.27","-9.13","-0.83","-","-0.91","11.57","-54.96","111.69","-9.13","16.92","-15.77","-4.98","-","-5.81","-0.83","-","169.95","-5.54","12.50","-2.21","0","-100.00","-38.38","674.66","-91.43","-2.4","0","-100.00","0.00","100.00","1.000","0","156.52","0","313.04","-","0","156.52","0","-"
"326","Paul LaDue","NYI","D","1","0.15","0.15","-65.65","389.06","-85.71","-49.24","389.06","-81.82","-38.3","389.06","-77.78","0","0","-","-4.88","-0.07","-89.04","-43.77","-5.47","-","-10.94","-5.47","-","0","0","-","-43.77","0","-","0","0","-","-31.61","0","-","0","0","-","-","100.00","1.00","400","0","0","0","100.00","400","0","0","100.00"
"218","Max McCormick","SEA","L","10","0.15","0.015","-98.3","386.89","-88.24","-79.73","-8.74","-","-61.17","-5.46","-","-4.37","0","-","-7.07","-0.4","-","-53.52","-4.37","-","-17.48","0","-","-2.18","0","-","-48.06","-5.83","-","-1.46","0","-100.00","-61.53","-4.73","-","-1.58","0","-100.00","-","-","-","0","0","400","0","0.00","0","0","400","0.00"
"751","Alexander True","SEA","C","8","0.15","0.01875","-86.88","374.66","-77.42","-63.35","-21.72","-","-47.06","-19.91","-","-9.05","-1.81","-","-7.25","-0.85","-","-48.87","-10.86","-","-23.53","-1.81","-","-5.43","-1.81","-","-33.79","-12.07","-","-2.41","0","-100.00","-52.29","-5.23","-","-2.61","0","-100.00","-","-","-","0","0","400","0","0.00","0","0","400","0.00"
"834","Nikita Okhotiuk","N.J","D","5","0.16666666666667","0.033333333333333","-65.04","343.03","-79.31","-50.9","343.03","-75.00","-36.76","343.03","-68.42","-2.83","357.17","-50.00","-3.66","5.05","-67.41","-45.25","-11.31","-","-8.48","-8.48","-","-2.83","-2.83","-","-49.02","-3.77","-","0","0","-","-40.85","-4.08","-","0","0","-","-","0.00","0.00","0","0","0","720","-","0","0","0","-"
"73","Thomas Hickey","NYI","D","2","0.21666666666667","0.10833333333333","-64.43","268.87","-88.89","-52.35","268.87","-86.67","-36.24","268.87","-81.82","0","0","-","-4.62","-0.08","-91.28","-40.27","-4.03","-","-12.08","-4.03","-","0","0","-","-37.58","0","-","0","0","-","-34.9","0","-","0","0","-","-","100.00","1.00","276.92","0","0","276.92","100.00","276.92","0","0","100.00"
"756","Austin Strand","L.A","D","8","0.21666666666667","0.027083333333333","-102.3","254.63","-82.11","-82.62","254.63","-78.75","-66.89","254.63","-75.00","-2.62","-2.62","-","-6.83","-1.87","-78.25","-49.84","-14.43","-","-15.74","-11.8","-","0","-2.62","-","-45.46","-3.5","-","-1.75","0","-100.00","-111.77","-1.89","-","-1.89","0","-100.00","-","100.00","1.00","0","276.92","0","0","-","0","276.92","0","-"
"638","Fredrik Karlstrom","DAL","C","3","0.53333333333333","0.17777777777778","-56.45","193.64","-64.29","-43.9","193.64","-58.33","-37.63","199.91","-60.00","-12.54","0","-","-3.85","29.24","-71.79","-37.63","106.23","-85.71","-6.27","112.5","-100.00","-6.27","0","-","-41.81","-8.36","-","-8.36","0","-100.00","-18.12","144.38","-50.00","0","0","-","-","100.00","1.00","112.5","0","0","0","100.00","112.5","0","0","100.00"
"342","Chad Ruhwedel","PIT","D","78","0.75","0.0096153846153846","-104.63","142.03","-85.34","-80.14","143.78","-83.17","-60.27","146.48","-81.68","-7.95","-1.27","-","-8.68","7.13","-86.84","-65.99","69.66","-86.46","-26.71","75.07","-84.42","-3.34","-0.64","-","-52.37","-7.21","-","-4.24","-0.64","-86.96","-54.89","109.12","-89.51","-2.07","0","-100.00","-","100.00","1.00","160","0","0","160","100.00","160","0","0","100.00"
