"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"627","Curtis Hamilton","EDM","L","1","7.7166666666667","7.7166666666667","31.1","132.18","19.05","15.55","93.3","14.29","7.78","77.75","9.09","0","0","-","0.94","5.35","14.92","23.33","62.2","27.27","0","31.1","0.00","0","0","-","31.1","41.47","42.86","0","0","-","11.23","78.62","12.50","0","0","-","0.00","100.00","1.000","23.33","15.55","31.1","23.33","42.86","54.43","38.88","31.1","63.64"
"564","Jesse Blacker","ANA","D","1","6.05","6.05","19.83","109.09","15.38","19.83","89.26","18.18","19.83","69.42","22.22","0","19.83","0.00","0.58","8.13","6.63","9.92","49.59","16.67","0","39.67","0.00","0","19.83","0.00","13.22","13.22","50.00","0","0","-","14.33","85.95","14.29","0","0","-","0.00","71.43","0.714","0","9.92","9.92","69.42","0.00","9.92","9.92","9.92","50.00"
"196","Colin Fraser","STL","C","1","4.7","4.7","25.53","102.13","20.00","25.53","76.6","25.00","25.53","63.83","28.57","0","12.77","0.00","1.17","9.21","11.27","12.77","63.83","16.67","0","51.06","0.00","0","12.77","0.00","17.02","17.02","50.00","0","0","-","18.44","55.32","25.00","0","0","-","0.00","80.00","0.800","0","0","25.53","51.06","0.00","0","0","25.53","0.00"
"717","Max Friberg","ANA","R","1","8.7833333333333","8.7833333333333","47.82","95.64","33.33","34.16","81.97","29.41","13.66","27.32","33.33","0","0","-","1","3.92","20.37","13.66","40.99","25.00","0","13.66","0.00","0","0","-","18.22","36.43","33.33","0","0","-","49.34","69.07","41.67","0","0","-","0.00","100.00","1.000","13.66","6.83","6.83","54.65","66.67","34.16","6.83","13.66","71.43"
"415","Dana Tyrell","CBJ","C","3","20.816666666667","6.9388888888889","37.47","92.23","28.89","20.18","72.06","21.88","14.41","54.76","20.83","0","2.88","0.00","1.55","5.37","22.39","20.18","43.23","31.82","5.76","25.94","18.18","0","2.88","0.00","19.22","23.06","45.45","0","0","-","16.65","54.12","23.53","0","0","-","0.00","94.74","0.947","17.29","14.41","2.88","66.29","85.71","25.94","20.18","14.41","64.29"
"354","Tom Sestito","VAN","L","3","18.716666666667","6.2388888888889","32.06","89.76","26.32","32.06","60.91","34.48","16.03","54.5","22.73","3.21","0","100.00","2.42","3.13","43.62","16.03","35.26","31.25","16.03","12.82","55.56","3.21","0","100.00","0","29.92","0.00","0","0","-","18.52","69.46","21.05","0","0","-","20.00","100.00","1.200","9.62","19.23","6.41","57.7","60.00","9.62","19.23","22.44","30.00"
"863","Tyler Gaudet","ARI","C","2","18.783333333333","9.3916666666667","25.55","89.44","22.22","22.36","57.5","28.00","15.97","31.94","33.33","0","3.19","0.00","0.4","3.84","9.52","6.39","35.14","15.38","0","12.78","0.00","0","0","-","8.52","29.81","22.22","0","4.26","0.00","23.07","64.6","26.32","0","0","-","0.00","90.00","0.900","3.19","28.75","6.39","44.72","33.33","6.39","31.94","15.97","28.57"
"135","Ryan Craig","CBJ","C","2","14.55","7.275","49.48","86.6","36.36","37.11","74.23","33.33","32.99","61.86","34.78","4.12","4.12","50.00","2.25","3.42","39.65","24.74","41.24","37.50","12.37","16.49","42.86","0","0","-","16.49","32.99","33.33","5.5","5.5","50.00","35.74","59.56","37.50","0","0","-","12.50","93.33","1.058","20.62","20.62","8.25","45.36","71.43","20.62","28.87","16.49","55.56"
"605","Andrew Agozzino","COL","L","1","9.75","9.75","49.23","86.15","36.36","43.08","55.38","43.75","30.77","36.92","45.45","6.15","0","100.00","1.8","3.45","34.21","18.46","36.92","33.33","6.15","18.46","25.00","0","0","-","16.41","24.62","40.00","8.21","0","100.00","44.44","53.33","45.45","0","0","-","20.00","100.00","1.200","12.31","12.31","12.31","49.23","50.00","30.77","24.62","30.77","50.00"
"813","Shayne Gostisbehere","PHI","D","2","20.783333333333","10.391666666667","46.19","80.83","36.36","31.76","63.51","33.33","17.32","46.19","27.27","0","5.77","0.00","1.34","5.16","20.56","14.43","43.3","25.00","5.77","23.1","20.00","0","5.77","0.00","11.55","26.94","30.00","0","0","-","33.36","37.53","47.06","0","0","-","0.00","87.50","0.875","11.55","11.55","5.77","51.96","66.67","20.21","11.55","11.55","63.64"
"723","Keegan Lowe","CAR","D","2","27.683333333333","13.841666666667","34.68","80.19","30.19","15.17","60.69","20.00","8.67","41.18","17.39","0","4.33","0.00","0.58","3.3","14.91","15.17","32.51","31.82","4.33","17.34","20.00","0","4.33","0.00","14.45","20.23","41.67","0","0","-","18.78","65.74","22.22","0","0","-","0.00","89.47","0.895","13","19.51","8.67","43.35","60.00","23.84","28.18","19.51","55.00"
"575","Jordan Szwarz","ARI","R","9","100.71666666667","11.190740740741","39.91","78.64","33.67","29.79","61.96","32.47","23.83","41.7","36.36","1.19","2.38","33.33","1.48","3.98","27.12","15.49","42.3","26.80","7.74","19.06","28.89","0","1.79","0.00","10.33","30.98","25.00","1.59","0","100.00","29.26","46.47","38.64","0","0.86","0.00","5.00","94.29","0.993","5.36","16.08","16.08","42.3","25.00","9.53","20.25","28.6","25.00"
"683","Michael Sgarbossa","COL","C","3","20.716666666667","6.9055555555556","52.13","78.2","40.00","43.44","66.61","39.47","37.65","52.13","41.94","8.69","8.69","50.00","1.51","2.55","37.27","14.48","26.07","35.71","0","8.69","0.00","0","2.9","0.00","19.31","23.17","45.45","3.86","3.86","50.00","54.38","71.12","43.33","8.37","4.18","66.67","23.08","83.33","1.064","20.27","17.38","14.48","40.55","58.33","26.07","26.07","14.48","64.29"
