Rk,Team,Overall,,,,,,,,,,,,,,,,,,,
1,Boston Bruins,65-12-5,,,,,,,,,,,,,,,,,,,
2,Carolina Hurricanes,52-21-9,,,,,,,,,,,,,,,,,,,
3,New Jersey Devils,52-22-8,,,,,,,,,,,,,,,,,,,
4,Vegas Golden Knights,51-22-9,,,,,,,,,,,,,,,,,,,
5,Toronto Maple Leafs,50-21-11,,,,,,,,,,,,,,,,,,,
6,Colorado Avalanche,51-24-7,,,,,,,,,,,,,,,,,,,
7,Edmonton Oilers,50-23-9,,,,,,,,,,,,,,,,,,,
8,Dallas Stars,47-21-14,,,,,,,,,,,,,,,,,,,
9,New York Rangers,47-22-13,,,,,,,,,,,,,,,,,,,
10,Los Angeles Kings,47-25-10,,,,,,,,,,,,,,,,,,,
11,Minnesota Wild,46-25-11,,,,,,,,,,,,,,,,,,,
12,Seattle Kraken,46-28-8,,,,,,,,,,,,,,,,,,,
13,Tampa Bay Lightning,46-30-6,,,,,,,,,,,,,,,,,,,
14,Winnipeg Jets,46-33-3,,,,,,,,,,,,,,,,,,,
15,New York Islanders,42-31-9,,,,,,,,,,,,,,,,,,,
16,Calgary Flames,38-27-17,,,,,,,,,,,,,,,,,,,
17,Florida Panthers,42-32-8,,,,,,,,,,,,,,,,,,,
18,Nashville Predators,42-32-8,,,,,,,,,,,,,,,,,,,
19,Buffalo Sabres,42-33-7,,,,,,,,,,,,,,,,,,,
20,Pittsburgh Penguins,40-31-11,,,,,,,,,,,,,,,,,,,
21,Ottawa Senators,39-35-8,,,,,,,,,,,,,,,,,,,
22,Vancouver Canucks,38-37-7,,,,,,,,,,,,,,,,,,,
23,St. Louis Blues,37-38-7,,,,,,,,,,,,,,,,,,,
24,Detroit Red Wings,35-37-10,,,,,,,,,,,,,,,,,,,
25,Washington Capitals,35-37-10,,,,,,,,,,,,,,,,,,,
26,Philadelphia Flyers,31-38-13,,,,,,,,,,,,,,,,,,,
27,Arizona Coyotes,28-40-14,,,,,,,,,,,,,,,,,,,
28,Montreal Canadiens,31-45-6,,,,,,,,,,,,,,,,,,,
29,San Jose Sharks,22-44-16,,,,,,,,,,,,,,,,,,,
30,Chicago Blackhawks,26-49-7,,,,,,,,,,,,,,,,,,,
31,Columbus Blue Jackets,25-48-9,,,,,,,,,,,,,,,,,,,
32,Anaheim Ducks,23-47-12,,,,,,,,,,,,,,,,,,,
