"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"548","Connor McDavid","EDM","C","56","995.88333333333","24","44","34","10","68","87.18","141","17.02","16.54","224","184","159","74","6","17","16","8","8","0","0","28","34","33","59","80","24","305","316","49.11"
"644","Auston Matthews","TOR","C","52","941.8","31","22","15","7","53","80.30","171","18.13","20.18","275","238","215","105","3","17","8","4","4","0","0","14","45","42","57","60","45","426","393","52.01"
"476","Leon Draisaitl","EDM","C","56","966.4","15","36","19","17","51","72.86","88","17.05","9.48","165","120","87","32","6","4","18","9","9","0","0","10","52","55","36","86","12","391","319","55.07"
"590","Mitchell Marner","TOR","R","55","953.1","20","31","21","10","51","79.69","120","16.67","15.43","220","161","156","52","7","20","16","8","8","0","0","11","56","43","19","45","37","0","1","0.00"
"300","Mark Scheifele","WPG","C","56","982.38333333333","17","29","15","14","46","83.64","90","18.89","12.04","139","116","102","51","1","11","8","4","4","0","0","14","33","44","29","98","37","314","333","48.53"
"58","Brad Marchand","BOS","C, L","53","745.06666666667","21","23","13","10","44","81.48","105","20.00","12.63","156","132","94","44","4","8","42","21","21","0","0","15","29","36","53","47","9","8","20","28.57"
"97","Patrick Kane","CHI","R","55","998.38333333333","12","31","21","10","43","75.44","138","8.70","10.32","230","171","128","33","6","10","14","7","7","0","0","5","37","26","11","49","13","2","5","28.57"
"250","Mark Stone","VGK","R","55","811.95","14","29","20","9","43","76.79","72","19.44","9.14","122","102","86","36","2","7","28","10","8","2","0","10","19","48","28","49","28","10","17","37.04"
"556","Mikko Rantanen","COL","R","52","826.55","21","21","11","10","42","70.00","116","18.10","12.9","211","162","122","54","3","17","24","12","12","0","0","17","14","29","23","62","20","31","26","54.39"
"153","Ryan O'Reilly","STL","C","56","899.16666666667","18","22","10","12","40","71.43","99","18.18","8.9","139","122","80","35","4","13","18","9","9","0","0","6","19","40","24","31","21","524","366","58.88"
"437","Nathan MacKinnon","COL","C","48","779.06666666667","12","28","21","7","40","71.43","140","8.57","12.87","261","194","142","41","8","15","35","11","9","1","1","22","20","14","31","44","13","215","236","47.67"
"606","Artemi Panarin","NYR","L","42","657.66666666667","12","28","17","11","40","93.02","63","19.05","5.65","127","98","73","15","3","4","4","2","2","0","0","7","24","18","11","18","7","0","2","0.00"
"38","Sidney Crosby","PIT","C","55","945.85","18","21","13","8","39","70.91","121","14.88","13.47","189","160","116","54","7","8","24","12","12","0","0","14","43","47","44","51","28","564","479","54.07"
"102","Max Pacioretty","VGK","L","48","721.41666666667","18","21","12","9","39","75.00","123","14.63","13.14","207","174","123","52","8","12","14","7","7","0","0","7","14","13","33","61","29","14","19","42.42"
"757","Jason Robertson","DAL","L","51","744.36666666667","16","23","18","5","39","78.00","116","13.79","9.09","174","140","95","46","4","10","16","8","8","0","0","7","22","17","27","53","13","5","2","71.43"
"157","John Tavares","TOR","C","56","868.18333333333","13","25","15","10","38","76.00","126","10.32","13.29","210","166","159","69","7","14","14","7","7","0","0","13","50","30","47","78","27","394","325","54.80"
"160","Evander Kane","S.J","L","56","873.23333333333","17","21","13","8","38","74.51","150","11.33","14.53","252","200","144","62","8","25","38","19","19","0","0","15","26","22","93","56","20","17","22","43.59"
"314","Jonathan Marchessault","VGK","C","55","816.11666666667","15","23","15","8","38","82.61","125","12.00","11.99","254","179","134","42","7","20","27","12","11","1","0","12","18","27","43","54","14","38","45","45.78"
"409","Jake Guentzel","PIT","L","56","961.51666666667","17","21","12","9","38","69.09","105","16.19","12.82","179","139","124","58","8","6","28","14","14","0","0","18","19","16","43","102","32","3","8","27.27"
"413","Oliver Bjorkstrand","CBJ","R","56","890.11666666667","16","22","16","6","38","84.44","117","13.68","10.43","196","164","104","41","7","12","23","5","3","1","1","3","25","38","41","90","30","3","4","42.86"
"438","Aleksander Barkov","FLA","C","50","774.35","18","20","16","4","38","79.17","123","14.63","12.79","178","155","126","59","5","7","12","6","6","0","0","15","20","38","27","73","33","402","351","53.39"
"618","Kirill Kaprizov","MIN","L","55","824.5","19","19","14","5","38","79.17","118","16.10","11.27","214","174","112","51","4","13","12","6","6","0","0","24","31","25","28","56","18","2","16","11.11"
"94","David Perron","STL","L","56","883.63333333333","13","24","11","13","37","84.09","98","13.27","8.04","187","132","96","25","5","6","16","8","8","0","0","11","26","17","45","30","22","0","6","0.00"
"295","Gabriel Landeskog","COL","L","54","851.63333333333","11","26","9","17","37","67.27","109","10.09","11.52","196","155","129","59","6","19","24","12","12","0","0","13","25","15","78","68","28","225","165","57.69"
"296","Jonathan Huberdeau","FLA","L","55","771.6","15","22","18","4","37","71.15","81","18.52","6.99","118","100","70","27","8","5","34","13","12","0","1","22","33","34","49","43","10","13","20","39.39"
"544","Kyle Connor","WPG","L","56","868.15","16","21","12","9","37","74.00","112","14.29","11.47","205","149","147","54","6","10","12","6","6","0","0","9","22","34","16","50","18","6","4","60.00"
"569","Mathew Barzal","NYI","C","55","885.48333333333","16","21","11","10","37","71.15","116","13.79","12.15","183","149","135","62","7","7","34","16","16","0","0","18","42","28","20","63","13","139","181","43.44"
"654","Alex DeBrincat","CHI","L","51","824.76666666667","22","15","11","4","37","71.15","114","19.30","11.48","194","148","115","43","4","6","10","5","5","0","0","14","35","29","60","83","20","13","21","38.24"
"408","Pavel Buchnevich","NYR","R","54","766.86666666667","16","20","11","9","36","80.00","97","16.49","9.07","165","127","89","36","4","10","36","11","8","2","1","13","32","22","42","61","24","3","11","21.43"
"559","Sebastian Aho","CAR","C","56","831.35","14","22","16","6","36","72.00","97","14.43","12.16","172","142","116","58","3","6","28","14","14","0","0","12","50","25","32","43","20","328","303","51.98"
"103","Jakub Voracek","PHI","R","53","754.71666666667","9","26","13","13","35","76.09","81","11.11","7.05","156","114","81","31","5","10","16","8","8","0","0","17","20","18","16","52","19","7","9","43.75"
"495","David Pastrnak","BOS","R","48","722.71666666667","14","20","16","4","34","72.34","136","10.29","10.17","246","191","117","33","13","13","24","12","12","0","0","20","27","23","33","52","13","2","5","28.57"
"568","Brock Boeser","VAN","R","56","874.95","14","20","12","8","34","61.82","98","14.29","11.04","176","138","113","46","9","9","14","6","6","0","0","5","21","16","31","24","20","8","14","36.36"
"412","Carter Verhaeghe","FLA","C","43","691.98333333333","16","17","9","8","33","73.33","100","16.00","12.57","163","128","119","57","5","13","31","13","12","1","0","8","25","18","29","79","13","16","22","42.11"
"482","Nikolaj Ehlers","WPG","L","47","710.46666666667","15","18","9","9","33","78.57","114","13.16","9.37","201","157","113","35","4","9","15","6","5","1","0","21","17","17","26","57","12","1","0","100.00"
"508","Brayden Point","T.B","C","56","836.03333333333","17","16","8","8","33","78.57","95","17.89","11.32","161","133","116","52","8","8","11","4","3","1","0","21","7","23","22","49","17","202","217","48.21"
"67","Claude Giroux","PHI","C","54","795.48333333333","15","17","12","5","32","64.00","97","15.46","9.13","155","132","84","41","2","9","12","6","6","0","0","15","15","18","31","41","5","358","260","57.93"
"299","Mika Zibanejad","NYR","C","56","790.86666666667","12","20","12","8","32","80.00","85","14.12","7.72","157","124","86","32","7","6","16","8","8","0","0","11","30","29","70","37","35","325","363","47.24"
"337","Tomas Hertl","S.J","C","50","737.31666666667","14","18","10","8","32","78.05","82","17.07","11.16","142","113","101","48","5","11","21","9","8","1","0","11","22","27","36","32","35","373","305","55.01"
"680","Jordan Kyrou","STL","C","55","723.11666666667","14","18","15","3","32","78.05","91","15.38","8.89","155","126","108","43","1","12","12","5","5","0","0","12","21","32","7","71","13","5","4","55.56"
"19","Patrice Bergeron","BOS","C","54","706.71666666667","13","18","7","11","31","58.49","128","10.16","10.88","198","172","118","51","9","7","12","6","6","0","0","3","7","30","45","28","30","489","310","61.20"
"28","Blake Wheeler","WPG","R","50","760.4","11","20","14","6","31","77.50","97","11.34","8.54","140","122","90","35","3","5","48","19","18","0","1","10","13","24","60","52","28","3","4","42.86"
"71","Nicklas Backstrom","WSH","C","55","834.93333333333","10","21","12","9","31","64.58","65","15.38","6.55","117","88","67","32","5","10","14","7","7","0","0","8","19","31","22","31","26","318","335","48.70"
"83","James van Riemsdyk","PHI","L","56","771.45","7","24","11","13","31","70.45","96","7.29","6.98","146","122","86","36","4","9","12","6","6","0","0","5","9","19","37","66","16","9","6","60.00"
"206","Tyler Toffoli","MTL","C, R","52","739.91666666667","19","12","7","5","31","77.50","123","15.45","13.88","215","168","134","51","11","11","18","9","9","0","0","5","26","21","69","45","11","19","28","40.43"
"239","Bryan Rust","PIT","R","56","926.66666666667","16","15","8","7","31","56.36","120","13.33","15.07","201","168","140","69","6","6","16","8","8","0","0","10","25","29","59","99","28","3","2","60.00"
"301","Sean Couturier","PHI","C","45","661","15","16","9","7","31","73.81","97","15.46","9.51","160","127","99","43","4","12","8","4","4","0","0","9","13","16","30","53","16","310","243","56.06"
"396","MacKenzie Weegar","FLA","D","54","1025.75","6","25","11","14","31","51.67","93","6.45","4.4","170","126","51","10","1","11","43","16","14","1","1","12","44","38","104","93","65","0","0","-"
"481","William Nylander","TOR","R","51","718.15","13","18","13","5","31","79.49","105","12.38","11.79","178","145","122","54","6","14","16","8","8","0","0","10","33","29","12","62","15","12","10","54.55"
"485","Jakub Vrana","DET, WSH","L","50","635.93333333333","19","12","7","5","31","73.81","83","22.89","8.01","165","122","95","32","6","8","10","5","5","0","0","3","26","20","29","19","8","4","5","44.44"
"552","Jordan Greenway","MIN","L","56","784.25","6","25","14","11","31","77.50","75","8.00","6.69","132","103","71","31","3","11","45","21","20","1","0","15","17","16","84","63","22","13","12","52.00"
"810","Joel Farabee","PHI","L","55","687.78333333333","17","14","11","3","31","79.49","95","17.89","9.51","153","127","92","46","2","14","28","11","9","2","0","11","13","19","45","69","17","4","8","33.33"
"24","Joe Pavelski","DAL","C","56","849.41666666667","12","18","9","9","30","66.67","92","13.04","9.86","170","142","98","50","6","10","12","6","6","0","0","11","17","16","60","44","37","284","248","53.38"
"70","Phil Kessel","ARI","R","56","795.11666666667","16","14","6","8","30","88.24","88","18.18","8.42","151","109","91","30","5","12","8","4","4","0","0","3","18","18","7","16","9","1","3","25.00"
"265","Johnny Gaudreau","CGY","L","56","831.38333333333","12","18","14","4","30","73.17","75","16.00","7.86","133","106","80","35","7","4","6","3","3","0","0","18","51","23","8","27","9","0","1","0.00"
"292","William Karlsson","VGK","C","56","795.26666666667","13","17","9","8","30","71.43","81","16.05","8.91","141","101","95","44","5","11","4","2","2","0","0","7","12","23","23","75","25","383","300","56.08"
"321","Yanni Gourde","T.B","C","56","763.93333333333","15","15","13","2","30","68.18","95","15.79","12.44","146","121","99","54","3","16","38","12","9","2","1","13","11","15","45","87","18","276","290","48.76"
"419","Andre Burakovsky","COL","L","53","683.03333333333","15","15","12","3","30","81.08","78","19.23","7.12","142","105","87","28","7","9","10","5","5","0","0","7","20","15","22","61","16","2","2","50.00"
"441","Elias Lindholm","CGY","C","56","802.45","13","17","7","10","30","66.67","92","14.13","9.5","140","111","94","33","4","9","12","6","6","0","0","11","20","21","47","28","21","367","351","51.11"
"47","Kris Letang","PIT","D","55","1101.2","6","23","15","8","29","45.31","111","5.41","4.63","222","156","55","6","4","15","20","10","10","0","0","7","44","19","77","86","57","0","0","-"
"126","John Carlson","WSH","D","52","964.23333333333","7","22","11","11","29","53.70","99","7.07","5.17","184","143","44","6","1","7","12","6","6","0","0","2","16","16","47","54","59","0","0","-"
"202","Mats Zuccarello","MIN","R","42","599.63333333333","8","21","12","9","29","87.88","52","15.38","5.55","110","83","64","26","6","9","8","4","4","0","0","7","14","18","12","23","19","10","19","34.48"
"236","Nino Niederreiter","CAR","R","56","794.18333333333","16","13","8","5","29","74.36","112","14.29","15.11","188","151","134","67","6","19","25","11","10","1","0","10","25","16","67","75","15","0","3","0.00"
"275","Blake Coleman","T.B","C","55","703.85","12","17","7","10","29","70.73","103","11.65","10.83","159","130","104","43","6","12","29","13","12","1","0","14","15","14","106","61","17","2","6","25.00"
"298","Ryan Strome","NYR","C","56","794.3","11","18","11","7","29","63.04","104","10.58","10.18","157","126","98","49","2","12","27","12","11","1","0","9","27","18","19","47","16","267","371","41.85"
"443","Darnell Nurse","EDM","D","56","1218.6166666667","15","14","5","9","29","33.72","138","10.87","6.66","262","188","81","14","1","10","57","20","16","3","1","11","50","18","112","63","80","0","0","-"
"489","Alex Tuch","VGK","R","55","769.78333333333","16","13","9","4","29","69.05","124","12.90","14.18","212","176","126","49","6","7","20","10","10","0","0","15","13","37","48","67","33","8","13","38.10"
"615","Conor Garland","ARI","R","49","734.41666666667","9","20","16","4","29","76.32","109","8.26","9.25","184","145","92","36","6","11","24","12","12","0","0","28","17","32","25","77","19","6","12","33.33"
"760","Max Comtois","ANA","L","55","749.23333333333","15","14","10","4","29","82.86","83","18.07","10.52","157","127","112","58","7","8","38","16","14","2","0","10","34","16","91","45","34","11","18","37.93"
"34","David Krejci","BOS","C","51","740.43333333333","5","23","17","6","28","82.35","72","6.94","6.76","115","94","68","24","1","7","16","8","8","0","0","5","24","19","25","38","25","301","255","54.14"
"124","Jordan Eberle","NYI","R","55","789.96666666667","15","13","8","5","28","66.67","109","13.76","10.57","175","148","121","51","3","2","16","8","8","0","0","12","14","15","29","80","17","3","2","60.00"
"227","Zach Hyman","TOR","L","43","682.25","12","16","7","9","28","62.22","92","13.04","11.23","152","122","118","63","5","12","26","12","12","0","0","11","14","16","63","102","20","8","19","29.63"
"348","Chandler Stephenson","VGK","C","51","747.15","11","17","10","7","28","53.85","61","18.03","6.11","90","75","60","34","2","4","25","7","5","1","1","11","7","18","40","67","29","300","293","50.59"
"411","Anthony Duclair","FLA","L","43","589.28333333333","8","20","13","7","28","65.12","93","8.60","9.93","143","114","86","45","5","10","18","9","9","0","0","16","14","10","32","47","9","0","1","0.00"
"594","Joel Eriksson Ek","MIN","C","56","789.85","19","9","7","2","28","63.64","111","17.12","13.98","155","136","102","65","4","12","20","10","10","0","0","17","9","17","98","76","27","339","377","47.35"
"641","Matthew Tkachuk","CGY","L","56","829.43333333333","12","16","10","6","28","62.22","104","11.54","11.58","193","148","133","70","4","13","53","22","19","3","0","23","52","21","130","54","8","2","4","33.33"
"41","Anze Kopitar","L.A","C","56","889.71666666667","10","17","14","3","27","71.05","92","10.87","10.31","151","125","88","39","3","14","10","5","5","0","0","11","27","10","39","46","33","446","340","56.74"
"161","Brayden Schenn","STL","C","56","896.71666666667","10","17","13","4","27","57.45","83","12.05","9.96","132","112","90","37","1","6","33","12","9","3","0","7","16","23","111","66","31","296","271","52.20"
"305","J.T. Miller","VAN","C","53","832.63333333333","11","16","11","5","27","57.45","76","14.47","8.91","133","108","90","38","1","11","43","20","19","1","0","6","37","25","86","54","18","239","195","55.07"
"421","Shea Theodore","VGK","D","53","1015.6833333333","8","19","7","12","27","40.30","125","6.40","6.24","270","169","75","15","4","21","12","6","6","0","0","6","32","23","18","42","43","0","0","-"
"445","Bo Horvat","VAN","C","56","891.51666666667","11","16","9","7","27","62.79","97","11.34","9.14","155","122","99","45","6","5","17","7","6","1","0","9","16","22","62","50","37","497","486","50.56"
"658","Jakob Chychrun","ARI","D","56","1097.4666666667","13","14","8","6","27","48.21","129","10.08","6.02","275","196","53","16","4","19","38","19","19","0","0","9","28","18","56","62","81","0","0","-"
"851","Yegor Sharangovich","N.J","C","54","754.03333333333","13","14","6","8","27","71.05","105","12.38","10.3","190","152","109","35","4","9","4","2","2","0","0","10","32","27","14","35","19","23","40","36.51"
"43","T.J. Oshie","WSH","R","53","766.53333333333","9","17","10","7","26","60.47","75","12.00","8.21","123","98","79","41","4","7","16","8","8","0","0","11","21","22","66","70","25","60","73","45.11"
"66","Jeff Petry","MTL","D","55","1008.4833333333","8","18","7","11","26","49.06","98","8.16","4.65","207","134","62","15","2","10","18","9","9","0","0","6","64","7","82","85","52","0","0","-"
"76","Jamie Benn","DAL","L","52","760.75","8","18","11","7","26","70.27","102","7.84","8.46","169","134","91","42","10","10","33","11","9","1","1","6","31","15","67","49","26","219","161","57.63"
"118","Josh Bailey","NYI","R","54","784.45","8","18","11","7","26","66.67","57","14.04","4.67","91","72","57","18","2","5","4","2","2","0","0","0","29","16","10","27","19","14","14","50.00"
"183","Craig Smith","BOS","C","54","717.8","9","17","9","8","26","66.67","120","7.50","9.11","213","168","114","35","9","11","18","9","9","0","0","6","15","24","65","76","8","9","12","42.86"
"257","Ondrej Palat","T.B","L","55","777.61666666667","8","18","10","8","26","68.42","84","9.52","8.7","138","111","85","32","2","13","22","11","11","0","0","13","14","24","78","57","42","0","5","0.00"
"374","Connor Brown","OTT","R","56","779.35","15","11","5","6","26","66.67","93","16.13","9.22","162","129","90","34","10","4","10","5","5","0","0","7","24","40","16","63","26","5","6","45.45"
"416","Andrew Copp","WPG","C","55","763.15","9","17","10","7","26","72.22","85","10.59","9.7","125","104","80","37","8","14","16","8","8","0","0","10","18","17","62","49","26","75","78","49.02"
"484","Kevin Fiala","MIN","L","50","669.71666666667","14","12","9","3","26","74.29","103","13.59","10.57","185","145","102","37","10","14","24","12","12","0","0","13","41","36","26","50","12","1","4","20.00"
"493","Kasperi Kapanen","PIT","R","40","555.81666666667","10","16","8","8","26","72.22","63","15.87","4.6","104","79","60","19","5","5","2","1","1","0","0","4","15","16","39","47","8","0","1","0.00"
"540","Andrew Mangiapane","CGY","L","56","755.46666666667","15","11","11","0","26","76.47","79","18.99","9.37","142","110","105","52","8","8","20","10","10","0","0","9","15","31","50","45","24","2","14","12.50"
"753","Nick Suzuki","MTL","C","56","838.5","9","17","9","8","26","66.67","90","10.00","9.12","167","124","100","40","7","16","24","12","12","0","0","11","36","26","67","73","37","274","357","43.42"
