"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"729","Tim Gettinger","NYR","L","2","16.066666666667","8.0333333333333","0","3.73","0","3.73","3.73","100.00","7.47","0.00","1.59","11.2","11.2","11.2","7.47","0","3.73","0","0","0","0","0","0","0","0","18.67","3.73","3.73","0","7.47","0.00"
"783","Morgan Geekie","CAR","C","2","17.8","8.9","10.11","3.37","0","3.37","13.48","100.00","10.11","100.00","1.03","13.48","10.11","6.74","3.37","0","0","6.74","3.37","3.37","0","0","0","0","0","3.37","3.37","13.48","40.45","26.97","202.25"
"296","Ben Street","N.J","C","3","23.916666666667","7.9722222222222","0","2.51","0","2.51","2.51","100.00","10.03","0.00","0.42","15.05","10.03","5.02","2.51","2.51","0","0","0","0","0","0","0","0","0","7.53","5.02","0","12.54","15.05","114.03"
"432","Paul LaDue","L.A","D","2","25.1","12.55","0","2.39","0","2.39","2.39","inf","4.78","0.00","0.1","14.34","7.17","4.78","0","0","0","0","0","0","0","0","0","2.39","2.39","4.78","9.56","4.78","0","0","-"
"847","Liam Foudy","CBJ","C","2","28.433333333333","14.216666666667","0","2.11","0","2.11","2.11","100.00","6.33","0.00","0.45","12.66","8.44","4.22","2.11","2.11","2.11","0","0","0","0","0","0","0","2.11","6.33","0","0","0","0","-"
"852","Jordan Gross","ARI","D","2","31.283333333333","15.641666666667","0","1.92","0","1.92","1.92","25.00","5.75","0.00","0.06","9.59","5.75","1.92","0","0","0","0","0","0","0","0","0","3.84","1.92","0","0","1.92","0","0","-"
"145","Colin Wilson","COL","C","9","97.25","10.805555555556","0","2.47","0.62","1.85","2.47","57.14","6.17","0.00","0.65","11.11","9.25","5.55","4.32","0","0.62","0","0","0","0","0","0","1.85","0.62","4.94","6.79","1.23","1.85","1.85","30.85"
"864","Nico Sturm","MIN","C","6","66.9","11.15","0","1.79","0","1.79","1.79","66.67","1.79","0.00","0.14","3.59","2.69","2.69","0.9","0","0.9","0","0","0","0","0","0.9","0.9","0.9","5.38","7.17","3.59","22.42","17.94","49.83"
"657","Zach Senyshyn","BOS","R","4","33.716666666667","8.4291666666667","0","3.56","1.78","1.78","3.56","100.00","1.78","0.00","0.25","7.12","3.56","3.56","1.78","0","0","0","0","0","0","0","1.78","1.78","1.78","3.56","8.9","1.78","1.78","0","177.95"
"160","Cameron Gaunce","T.B","D","3","34.083333333333","11.361111111111","1.76","5.28","3.52","1.76","7.04","100.00","8.8","20.00","0.36","12.32","10.56","3.52","1.76","0","7.04","7.04","3.52","3.52","0","0","0","0","0","8.8","7.04","3.52","0","0","-"
