"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"58","Brad Marchand","BOS","C, L","53","84.166666666667","4","3","3","0","7","100.00","8","50.00","1.11","10","10","7","2","2","0","4","2","2","0","0","1","2","4","11","3","2","1","2","33.33"
"363","Connor Brown","OTT","R","56","162.66666666667","5","0","0","0","5","100.00","20","25.00","2.32","25","21","19","10","6","1","2","1","1","0","0","2","1","15","2","4","4","7","9","43.75"
"19","Patrice Bergeron","BOS","C","54","96.366666666667","3","1","1","0","4","57.14","13","23.08","0.95","14","13","9","3","3","0","0","0","0","0","0","0","0","3","0","1","6","86","59","59.31"
"154","Evander Kane","S.J","L","56","100.06666666667","2","2","2","0","4","80.00","13","15.38","1.07","15","14","6","5","2","1","0","0","0","0","0","2","1","6","2","0","2","1","2","33.33"
"289","Mika Zibanejad","NYR","C","56","132.43333333333","2","2","1","1","4","66.67","13","15.38","2.07","18","14","11","8","3","0","2","1","1","0","0","0","6","10","5","0","7","66","116","36.26"
"391","Pavel Buchnevich","NYR","R","54","124.96666666667","3","1","1","0","4","80.00","6","50.00","1.57","8","7","3","1","0","0","2","1","1","0","0","0","2","7","5","5","4","0","1","0.00"
"398","Nick Paul","OTT","L","56","118.58333333333","1","3","3","0","4","66.67","10","10.00","0.98","13","13","7","3","3","2","0","0","0","0","0","3","3","5","1","5","10","53","68","43.80"
"699","Martin Necas","CAR","C","53","53.566666666667","2","2","2","0","4","100.00","6","33.33","2.37","11","10","7","6","1","1","0","0","0","0","0","0","3","3","0","2","5","1","0","100.00"
"59","Nick Foligno","CBJ, TOR","L","49","82.883333333333","0","3","2","1","3","100.00","2","0.00","0.2","2","2","1","1","1","0","2","1","1","0","0","2","3","1","2","0","7","18","29","38.30"
"137","Cam Atkinson","CBJ","R","56","101.11666666667","3","0","0","0","3","100.00","18","16.67","1.11","20","19","12","5","1","1","0","0","0","0","0","2","2","6","2","0","7","1","4","20.00"
"144","Tyler Bozak","STL","C","31","60.75","2","1","1","0","3","75.00","4","50.00","0.4","5","4","2","2","1","0","0","0","0","0","0","0","1","2","0","0","2","39","36","52.00"
"200","Tyler Toffoli","MTL","C, R","52","40.766666666667","2","1","1","0","3","100.00","7","28.57","0.71","9","9","6","3","2","0","2","1","1","0","0","3","2","4","2","0","1","0","1","0.00"
"349","Teddy Blueger","PIT","C","43","88.75","3","0","0","0","3","75.00","9","33.33","1.09","12","11","8","4","1","0","0","0","0","0","0","1","1","1","3","1","6","38","64","37.25"
"413","Artturi Lehkonen","MTL","L","47","95.483333333333","2","1","0","1","3","150.00","8","25.00","0.68","9","9","8","3","1","0","0","0","0","0","0","2","4","2","10","1","5","1","4","20.00"
"526","Sebastian Aho","CAR","C","56","92.183333333333","3","0","0","0","3","50.00","14","21.43","2.49","17","17","12","7","1","0","0","0","0","0","0","1","0","6","3","1","4","22","18","55.00"
"31","Blake Comeau","DAL","L","51","85.316666666667","0","2","2","0","2","200.00","4","0.00","0.32","6","5","4","0","0","0","0","0","0","0","0","1","0","5","2","0","1","4","15","21.05"
"61","Kyle Okposo","BUF","R","35","39.05","1","1","1","0","2","100.00","4","25.00","0.25","5","4","2","1","0","0","0","0","0","0","0","0","1","2","2","0","3","2","0","100.00"
"62","Trevor Lewis","WPG","C","56","98.466666666667","2","0","0","0","2","100.00","4","50.00","0.44","4","4","4","2","2","0","0","0","0","0","0","1","3","2","2","1","6","1","0","100.00"
"90","Brandon Sutter","VAN","C","43","115.25","2","0","0","0","2","66.67","11","18.18","1.35","12","12","6","3","3","0","0","0","0","0","0","0","0","4","2","0","5","50","41","54.95"
"98","Mikael Backlund","CGY","C","54","97.516666666667","1","1","1","0","2","100.00","9","11.11","0.87","14","12","9","2","1","0","2","1","1","0","0","1","2","7","1","2","2","25","44","36.23"
"115","Tyler Myers","VAN","D","55","176.58333333333","1","1","1","0","2","50.00","7","14.29","0.11","7","7","1","0","0","0","2","1","1","0","0","1","6","5","9","2","23","0","0","-"
