"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"736","Max Domi","ARI","L","81","19.2","0.23703703703704","0","3.13","0","3.13","3.13","100.00","9.38","0.00","0.86","9.38","9.38","6.25","3.13","0","3.13","0","0","0","0","0","3.13","6.25","3.13","0","3.13","0","3.13","0","312.50"
"527","Mark Pysyk","BUF","D","55","26.983333333333","0.49060606060606","0","2.22","0","2.22","2.22","inf","0","-","0","0","0","0","0","0","0","4.45","2.22","2.22","0","0","2.22","2.22","0","0","0","8.89","0","0","-"
"360","Jake Gardiner","TOR","D","79","27.883333333333","0.35295358649789","0","2.15","0","2.15","2.15","100.00","2.15","0.00","0.06","2.15","2.15","0","0","0","0","0","0","0","0","0","2.15","6.46","2.15","2.15","2.15","6.46","0","0","-"
"9","Michal Rozsival","CHI","D","51","30.9","0.60588235294118","0","1.94","0","1.94","1.94","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","3.88","0","5.83","1.94","13.59","0","0","-"
"22","Alex Tanguay","ARI, COL","L","70","37.516666666667","0.53595238095238","0","1.6","0","1.6","1.6","100.00","0","-","0","1.6","0","1.6","0","0","0","0","0","0","0","0","1.6","1.6","1.6","1.6","1.6","3.2","1.6","0","159.93"
"263","Jeff Petry","MTL","D","51","119.86666666667","2.3503267973856","0","1.5","0","1.5","1.5","100.00","0.5","0.00","0","2.5","1","0","0","0","0","0","0","0","0","0","0","5.01","2","5.51","1.5","6.01","0.5","0","50.06"
"496","Charlie Coyle","MIN","C","82","45.233333333333","0.55162601626016","0","1.33","0","1.33","1.33","100.00","5.31","0.00","0.53","5.31","5.31","5.31","3.98","0","0","0","0","0","0","0","1.33","0","0","0","1.33","7.96","17.24","19.9","61.59"
"601","Brandon Saad","CBJ","L","78","48.216666666667","0.61816239316239","0","1.24","0","1.24","1.24","100.00","9.96","0.00","1.02","16.18","12.44","12.44","3.73","1.24","1.24","0","0","0","0","0","1.24","0","3.73","0","0","1.24","1.24","1.24","62.22"
"189","Adam Pardy","EDM, WPG","D","23","55.383333333333","2.4079710144928","0","1.08","0","1.08","1.08","100.00","1.08","0.00","0.04","1.08","1.08","0","0","0","0","0","0","0","0","0","0","2.17","2.17","6.5","1.08","9.75","0","0","-"
"393","Jared Spurgeon","MIN","D","77","136.5","1.7727272727273","0","1.32","0.44","0.88","1.32","75.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.88","0.44","0.88","0.88","0.88","11.87","0","0","-"
"215","Marc-Edouard Vlasic","S.J","D","67","151.71666666667","2.2644278606965","0","0.79","0","0.79","0.79","100.00","1.58","0.00","0.09","3.56","2.77","0.79","0","0.79","0","1.58","0.79","0.79","0","0","0","2.37","0.79","0.79","1.58","10.68","0","0","-"
"380","Lance Bouma","CGY","C","44","80","1.8181818181818","0","1.5","0.75","0.75","1.5","66.67","1.5","0.00","0.24","3","3","2.25","0.75","0","0.75","0","0","0","0","0","0.75","0.75","2.25","2.25","0","10.5","2.25","2.25","37.50"
"606","Miikka Salomaki","NSH","R","61","80.4","1.3180327868852","0","0.75","0","0.75","0.75","50.00","1.49","0.00","0.14","2.24","1.49","1.49","0.75","0","0","1.49","0.75","0.75","0","0","0","0","2.24","3.73","2.99","3.73","0","0","-"
"219","Kris Letang","PIT","D","71","165.21666666667","2.3269953051643","0","1.09","0.36","0.73","1.09","60.00","2.18","0.00","0.19","3.27","3.27","1.09","0.73","0","0","0","0","0","0","0","0.73","1.82","1.82","3.27","0.73","3.27","0","0","-"
"59","Deryk Engelland","CGY","D","69","86.066666666667","1.2473429951691","0","0.7","0","0.7","0.7","25.00","0","-","0.02","0.7","0.7","0","0","0","0","3.49","0.7","0","0.7","0","0.7","1.39","0","0.7","0","6.27","0","0","-"
"156","Clayton Stoner","ANA","D","50","90.733333333333","1.8146666666667","0","0.66","0","0.66","0.66","100.00","0.66","0.00","0.01","0.66","0.66","0","0","0","0","0","0","0","0","0","0","3.31","0","6.61","1.98","6.61","0","0","-"
"384","TJ Brodie","CGY","D","70","183.75","2.625","0","0.65","0","0.65","0.65","40.00","1.31","0.00","0.06","1.63","1.31","0.33","0.33","0","0","0","0","0","0","0","0","3.92","3.92","0","0.98","4.57","0","0","-"
"342","Zack Smith","OTT","C","81","106.98333333333","1.3207818930041","2.24","0.56","0","0.56","2.8","83.33","6.73","33.33","0.76","7.85","7.29","2.8","2.24","1.68","0.56","11.22","3.37","2.8","0","0.56","1.68","0.56","3.37","4.49","1.12","1.12","24.12","32.53","23.88"
"176","David Krejci","BOS","C","72","108.98333333333","1.5136574074074","0","1.65","1.1","0.55","1.65","150.00","2.2","0.00","0.54","3.85","3.3","1.65","0","1.65","0","1.1","0.55","0.55","0","0","0","0.55","2.2","2.2","0","6.61","25.88","28.08","26.40"
"612","Gabriel Landeskog","COL","L","75","108.15","1.442","0.55","1.11","0.55","0.55","1.66","100.00","6.1","9.09","0.66","6.66","6.66","4.99","3.33","0","0.55","2.22","1.11","1.11","0","0","0","0","1.66","4.99","1.11","2.77","1.66","1.66","27.74"
"643","J.T. Brown","T.B","R","78","113.13333333333","1.4504273504274","0","1.06","0.53","0.53","1.06","100.00","2.12","0.00","0.16","2.65","2.65","1.06","0.53","0","0","0","0","0","0","0","1.59","1.59","0.53","3.71","3.71","5.83","2.65","2.12","29.46"
"228","Niklas Hjalmarsson","CHI","D","81","230.8","2.8493827160494","0","0.78","0.26","0.52","0.78","30.00","0.26","0.00","0","0.26","0.26","0","0","0.26","0","1.56","0.78","0.78","0","0","0.26","2.6","1.3","1.56","2.34","5.2","0","0","-"
"660","Olli Maatta","PIT","D","67","120.35","1.7962686567164","0","0.5","0","0.5","0.5","33.33","0.5","0.00","0","1","0.5","0","0","0","0","1","0.5","0.5","0","0","0","1","0.5","3.49","1.5","7.98","0","0","-"
"365","John Carlson","WSH","D","56","122.18333333333","2.1818452380952","0","0.49","0","0.49","0.49","100.00","0.49","0.00","0.08","1.47","1.47","0.49","0","0","0","0.98","0.49","0.49","0","0","0.98","3.44","0.49","0.49","0.98","8.35","0","0","-"
"178","Andrej Sekera","EDM","D","81","130.55","1.6117283950617","0","0.46","0","0.46","0.46","50.00","0.46","0.00","0.04","0.46","0.46","0.46","0.46","0","0","0","0","0","0","0","0","5.52","2.3","0.46","0.92","8.27","0","0","-"
"374","Marco Scandella","MIN","D","73","133.55","1.8294520547945","0","0.45","0","0.45","0.45","100.00","0.45","0.00","0.02","0.45","0.45","0","0","0","0","0.9","0.45","0.45","0","0","0.45","1.35","0.9","2.7","0.45","8.09","0","0","-"
"544","Brandon Davidson","EDM","D","51","134.58333333333","2.6388888888889","0","0.45","0","0.45","0.45","50.00","0.45","0.00","0","0.45","0.45","0","0","0","0","0.89","0.45","0.45","0","0","0.45","3.12","1.78","1.78","2.23","11.15","0","0","-"
"688","Jaccob Slavin","CAR","D","63","132.66666666667","2.1058201058201","0","0.45","0","0.45","0.45","100.00","1.81","0.00","0.03","2.26","2.26","0","0","0","0.45","0.9","0.45","0.45","0","0","0.45","0.9","3.17","2.71","0.45","9.95","0","0","-"
"751","Trevor van Riemsdyk","CHI","D","82","140.23333333333","1.710162601626","0","0.43","0","0.43","0.43","100.00","0.43","0.00","0.04","0.86","0.86","0.43","0","0","0","2.14","0.43","0","0.43","0","0.86","3.85","0.43","0.86","0.43","5.99","0","0","-"
"421","Victor Hedman","T.B","D","78","157.66666666667","2.0213675213675","0","0.38","0","0.38","0.38","33.33","2.28","0.00","0.03","2.28","2.28","0.38","0","0.38","0","0.76","0.38","0.38","0","0","0.38","2.28","1.52","1.52","0.38","5.71","0","0","-"
"81","Brooks Laich","TOR, WSH","C","81","160.08333333333","1.9763374485597","0","0.37","0","0.37","0.37","100.00","2.25","0.00","0.1","3","3","1.5","0","0","0","2.25","1.12","1.12","0","0","0.37","1.5","1.5","0","0.75","6.37","6.75","16.12","11.06"
"117","Ryan Suter","MIN","D","82","161.15","1.965243902439","0.37","0.37","0","0.37","0.74","50.00","1.49","25.00","0.12","2.98","2.98","0.74","0.37","0.37","0","0","0","0","0","0","0.74","1.49","1.86","2.61","1.12","4.84","0","0","-"
"290","Ben Lovejoy","PIT","D","66","163.33333333333","2.4747474747475","0","0.37","0","0.37","0.37","20.00","1.1","0.00","0.01","1.1","1.1","0.37","0","0","0","0","0","0","0","0","0","1.1","0.73","4.41","2.2","9.18","0","0","-"
"38","Derek MacKenzie","FLA","C","64","168.48333333333","2.6325520833333","0","0.36","0","0.36","0.36","100.00","2.14","0.00","0.46","4.27","3.92","1.78","1.07","0.36","0","0","0","0","0","0","1.07","0.36","3.92","1.78","1.42","4.63","44.51","39.89","18.78"
"590","Jean-Gabriel Pageau","OTT","C","82","172.35","2.1018292682927","2.44","0.7","0.35","0.35","3.13","100.00","5.92","41.18","0.83","6.96","6.27","3.48","1.74","1.74","0","0","0","0","0","0","0","1.74","2.44","3.48","1.04","6.27","36.55","42.47","16.10"
"84","Vernon Fiddler","DAL","C","82","178.15","2.1725609756098","0.67","0.67","0.34","0.34","1.35","100.00","3.37","20.00","0.49","4.38","4.04","2.02","0.67","0.34","0.34","0","0","0","0","0","1.35","0.34","2.69","0","1.01","4.72","40.42","47.82","15.43"
"107","Duncan Keith","CHI","D","67","178.86666666667","2.6696517412935","0","0.34","0","0.34","0.34","25.00","1.34","0.00","0.02","2.01","1.34","0.67","0","0","0.34","0","0","0","0","0","0","2.01","0.34","0.67","1.01","8.39","0","0.34","0.00"
"127","Brent Burns","S.J","D","82","177.43333333333","2.1638211382114","0.34","0.34","0","0.34","0.68","66.67","2.03","16.67","0.06","2.71","2.71","0.34","0","0","0","1.35","0.68","0.68","0","0","0.34","2.03","3.38","5.41","0.68","7.44","0","0","-"
"136","Patrice Bergeron","BOS","C","80","176.4","2.205","0.34","0.68","0.34","0.34","1.02","100.00","4.08","8.33","0.42","6.8","6.46","4.42","1.02","0.68","0.34","0","0","0","0","0","0.34","0.68","4.08","0.34","1.36","3.74","43.54","41.84","17.35"
