"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"334","Claude Giroux","PHI","C","81","267.6","14","23","7","16","37","75.51","64","21.88","5.24","122","79","40","5","0","9","2","1","1","0","0","3","7","0","5","11","1","192","132","59.26"
"217","Alex Ovechkin","WSH","L","81","309.26666666667","25","9","6","3","34","66.67","134","18.66","15.33","265","205","104","20","0","9","8","4","4","0","0","1","5","3","6","7","0","0","0","-"
"344","Nicklas Backstrom","WSH","C","82","254.05","3","30","14","16","33","76.74","34","8.82","3.57","59","45","34","7","0","5","0","0","0","0","0","1","7","2","2","4","1","88","66","57.14"
"411","Jakub Voracek","PHI","R","82","267.73333333333","11","22","8","14","33","67.35","65","16.92","7.6","136","92","47","11","0","13","6","3","3","0","0","1","9","1","3","12","0","1","0","100.00"
"204","Joe Pavelski","S.J","C","82","269.18333333333","19","12","10","2","31","73.81","91","20.88","14.34","131","112","98","61","0","12","0","0","0","0","0","2","18","3","1","8","3","114","71","61.62"
"268","Sidney Crosby","PIT","C","77","279.96666666667","10","21","10","11","31","75.61","55","18.18","7.54","88","70","51","22","1","5","2","1","1","0","0","2","14","3","4","18","0","176","160","52.38"
"509","John Tavares","NYI","C","82","303.56666666667","13","18","7","11","31","72.09","73","17.81","11.34","107","91","79","39","4","14","12","6","6","0","0","2","29","6","4","13","2","147","142","50.87"
"67","Mark Streit","PHI","D","81","290.66666666667","4","26","16","10","30","61.22","50","8.00","4.21","121","69","23","3","2","13","0","0","0","0","0","0","5","2","5","2","6","0","0","-"
"441","Erik Karlsson","OTT","D","82","393.51666666667","6","24","14","10","30","73.17","93","6.45","7.86","208","145","49","6","4","16","2","1","1","0","0","2","11","4","5","5","5","0","0","-"
"290","Keith Yandle","ARI, NYR","D","84","348.2","2","27","9","18","29","74.36","71","2.82","5.04","148","98","43","3","1","14","4","2","2","0","0","0","17","5","0","3","8","0","0","-"
"615","Tyler Seguin","DAL","C","71","274.31666666667","13","16","12","4","29","78.38","86","15.12","8.53","175","118","64","10","1","14","2","1","1","0","0","2","11","2","4","6","1","5","11","31.25"
"64","Henrik Zetterberg","DET","L","77","247.51666666667","4","24","15","9","28","71.79","47","8.51","6.47","109","77","46","17","0","7","8","4","4","0","0","0","10","3","0","10","0","95","93","50.53"
"91","Jason Spezza","DAL","C","82","300.35","4","22","8","14","26","63.41","49","8.16","6.77","99","73","52","20","0","5","4","2","2","0","0","2","17","5","0","6","2","129","94","57.85"
"218","Evgeni Malkin","PIT","C","69","251.83333333333","9","17","9","8","26","65.00","63","14.29","7.65","121","94","53","19","0","11","4","2","2","0","0","3","16","3","3","17","1","4","11","26.67"
"318","Nick Foligno","CBJ","L","79","198.91666666667","11","15","10","5","26","74.29","31","35.48","5.66","47","40","40","32","1","3","4","2","2","0","0","1","4","4","6","8","0","7","7","50.00"
"614","Ryan Johansen","CBJ","C","82","234.21666666667","7","19","9","10","26","72.22","51","13.73","5.5","95","69","37","8","0","6","8","3","3","0","0","2","12","2","4","4","0","131","120","52.19"
"51","Andrei Markov","MTL","D","81","262.7","4","21","14","7","25","73.53","31","12.90","3.05","65","45","13","5","0","4","4","2","2","0","0","0","3","7","2","3","8","0","0","-"
"54","Daniel Sedin","VAN","L","82","244.78333333333","4","21","11","10","25","64.10","44","9.09","5.58","66","58","47","28","0","5","0","0","0","0","0","0","6","0","1","4","0","0","1","0.00"
"55","Henrik Sedin","VAN","C","82","242.76666666667","5","20","11","9","25","64.10","17","29.41","3.07","33","23","25","13","1","0","0","0","0","0","0","0","9","0","0","8","2","114","117","49.35"
