"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"643","Matt Roy","L.A","D","70","2.95","0.042142857142857","0","20.34","0","20.34","20.34","100.00","0","-","0","20.34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"75","Andy Greene","N.J, NYI","D","63","4.0666666666667","0.064550264550265","0","14.75","0","14.75","14.75","100.00","14.75","0.00","0.45","14.75","14.75","0","0","0","14.75","29.51","14.75","14.75","0","0","0","14.75","0","0","14.75","0","0","0","-"
"729","Jason Robertson","DAL","L","3","4.6166666666667","1.5388888888889","0","13","0","13","13","50.00","13","0.00","0.63","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"596","Caleb Jones","EDM","D","43","4.8333333333333","0.11240310077519","0","12.41","0","12.41","12.41","100.00","12.41","0.00","0.37","37.24","24.83","12.41","0","0","12.41","0","0","0","0","0","0","0","12.41","0","0","0","0","0","-"
"102","Steven Kampfer","BOS","D","10","5","0.5","0","24","12","12","24","100.00","12","0.00","0.56","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"106","Justin Braun","PHI","D","62","5.7666666666667","0.093010752688172","0","10.4","0","10.4","10.4","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"232","Christopher Tanev","VAN","D","69","5.7666666666667","0.083574879227053","0","10.4","0","10.4","10.4","50.00","0","-","0","10.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"649","Brandon Tanev","PIT","L","68","6.9","0.10147058823529","0","8.7","0","8.7","8.7","100.00","0","-","0","8.7","0","0","0","0","8.7","0","0","0","0","0","0","0","0","0","8.7","0","0","0","-"
"793","Ville Heinola","WPG","D","8","7.1666666666667","0.89583333333333","0","8.37","0","8.37","8.37","100.00","8.37","0.00","0.36","16.74","8.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"489","Mirco Mueller","N.J","D","50","7.8166666666667","0.15633333333333","0","7.68","0","7.68","7.68","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.68","0","0","0","-"
"683","Jordan Kyrou","STL","C","28","9.8166666666667","0.35059523809524","0","6.11","0","6.11","6.11","100.00","6.11","0.00","0.89","18.34","12.22","18.34","0","0","0","0","0","0","0","0","0","0","0","0","6.11","0","0","0","-"
"360","Ryan Murray","CBJ","D","27","23.45","0.86851851851852","0","5.12","0","5.12","5.12","100.00","2.56","0.00","0.31","7.68","5.12","5.12","0","0","2.56","0","0","0","0","0","0","2.56","0","0","2.56","2.56","0","0","-"
